line,annotated
[Chorus],0
"Fuck my life, can't save that, girl",1
Don't tell me you could save that shit,1
All she want is payback for the way I always play that shit,0
You ain't gettin' nothin' that I'm sayin',0
Don't tell me you is,0
Nothin' like them other motherfuckers,0
I can make you rich (I can make you rich),0
"I can make you this, baby, I can make you that",0
"I can take you there, but baby, you won't make it back",0
Growing sick of this and I don't wanna make you sad,0
"Do I make you scared? Baby, won't you take me back?",1
[Refrain],0
Nothin' like them other motherfuckers,0
I can make you rich (I can make you rich),0
Nothin' like them other motherfuckers,0
I can make you rich (I can make you rich),0
[Chorus],0
"Fuck my life, can't save that, girl",1
Don't tell me you could save that shit,1
All she want is payback for the way I always play that shit,0
You ain't gettin' nothin' that I'm sayin',0
Don't tell me you is,0
Nothin' like them other motherfuckers,0
I can make you rich (Make you rich),0
"I can make you this, baby, I can make you that",0
"I can take you there, but baby, you won't make it back",0
Growing sick of this and I don't wanna make you sad,0
"Do I make you scared? Baby, won't you take me back? (Do I make you scared?)",1
[Bridge],0
"Down another lonely road, I go",0
Just another lonely road to home,0
"I just wanna know, I just gotta know",0
"Do you wanna glo? Baby, we could glo",1
[Chorus],0
"Fuck my life, can't save that, girl",1
Don't tell me you could save that shit,1
All she want is payback for the way I always play that shit,0
You ain't gettin' nothin' that I'm sayin',0
Don't tell me you is,0
Nothin' like them other motherfuckers,0
I can make you rich (I can make you rich),0
"I can make you this, baby, I can make you that",0
"I can take you there, but baby, you won't make it back",0
Growing sick of this and I don't wanna make you sad,0
"Do I make you scared? Baby, won't you take me back?",1
[Outro],0
"Do I make you scared? Baby, won't you take me back?",1
Nothin' like them other mothafuckas',0
I can make you rich (I can make you rich),0
