line,annotated
[Verse 1: Iggy Azalea],0
"Been around the world and I, I, I, I can't find my baby",1
"Things gettin' crazy, losin' my patience",0
Why you keep me waitin'? Goin' through the phases,0
Got me walkin' out the house all done up,0
Just in case I see your face and you decide to run up,0
"Yeah, I'm in a different place, I need someone to hold on to",0
I been sendin' up a prayer hope the call gets through,0
[Pre-Chorus: Iggy Azalea],0
'Cause my heart beats for you only,0
I wonder if you even know me,0
Countin' down every moment,0
"That I wait for ya, I wait for ya",0
"I wonder if you even notice, lately",0
I've been feelin' hopeless,0
"Easy to lose focus, but I'll wait for ya",0
[Chorus: Quavo],0
I've been looking for a savior (,0
hey,0
),0
I've been looking for a savior (,0
hey,0
),0
I've been looking for a real one to hold on to (,0
hey,0
),0
"I've been looking for a savior, savior, yeah, to save me",0
[Post-Chorus: Iggy Azalea &,0
Quavo,0
],0
"Ah-ay, na-na-na-aye",0
"Ah-ay, na-na-na-aye (",0
yeah,0
),0
"Ah-ay, na-na-na-aye (",0
I've been looking for a savior),0
"Ah-ay, na-na-na-aye (",0
"savior, yeah, to save me",0
),0
[Verse 2: Iggy Azalea],0
"I feel like God playin' tricks on me, got a fix on me",0
Feel the weight of the world like I got a brick on me,0
Had a dance with the devil and he got a grip on me,0
"I'm just tryna get to heaven, hope you got a ticket for me, huh",0
"I've been sending up prayers, I need feedback",0
"Past full of sin, can someone delete that?",0
"My path got muddy, I feel like my feet trapped",0
Can you give me the strength now to beat that?,0
[Pre-Chorus: Iggy Azalea],0
'Cause my heart beats for you only,0
I wonder if you even know me,0
Countin' down every moment,0
"That I wait for ya, I wait for ya",0
"I wonder if you even notice, lately",0
I've been feelin' hopeless,0
"Easy to lose focus, but I'll wait for ya",0
[Chorus: Quavo],0
I've been looking for a savior (,0
hey,0
),0
I've been looking for a savior (,0
hey,0
),0
I've been looking for a real one to hold on to (,0
hey,0
),0
"I've been looking for a savior, savior, yeah, to save me",0
[Bridge: Iggy Azalea],0
"Saving my love for you, saving my love for you (",0
"hey, saving it",0
),0
"Saving it all for you, saving it all for you (",0
"all for you, uh",0
),0
"Saving my love for you, saving my love for you (",0
"hey, saving it",0
),0
"Saving it all for you, saving it all for you (",0
uh,0
),0
[Chorus: Quavo &,0
Iggy Azalea,0
],0
I've been looking for a savior (,0
"ah-ay, na-na-na-aye",0
),0
I've been looking for a savior (,0
"ah-ay, na-na-na-aye",0
),0
I've been looking for a real one to hold on to,0
I've been looking for a savior  (,0
"ah-ay, na-na-na-aye",0
),0
"Savior, yeah, to save me",0
[Outro: Iggy Azalea &,0
Quavo,0
],0
"Been around the world and I, I, I (",0
"hey, I've been looking for a",0
),0
"Been around the world and I, I, I (",0
"hey, I've been ",0
looking,0
 for a,0
),0
"Been around the world and I, I, I (",0
hey,0
),0
"I've been looking for a savior, savior, yeah, save me",0
