line,annotated
[Verse 1],0
I gotta catch this flight,0
But I'm faded from drinking that goose,1
I told my mom and my girl that I'd be there,0
And they told me they'd be there too,0
My flight's on time,0
"Alright, fuck this line",0
"Imma cut this shit, like I cut that vine",1
"Ill, I'm still - Moving through the line with ninja skill",0
Make sure that I ain't got no pills,0
"What do you want man, what's your deal",0
[Hook],0
"Step back, pull your pants up",0
"Spread your legs, like this",0
Put your hands up,0
It's okay if you touch my dick,0
'Cause this is the security check,0
"Homegirl, spread those cheeks",1
'Till I can see what you ate last week,0
I better not find some shit,0
'Cause this is the security check,0
[Verse 2],0
I gotta find gate D nine,0
It looks like I'll be fine,0
'Till I figured out that I queued in the wrong line,1
"Fuck, so i gotta go back with the terminals packed",1
I'm about to have a panic attack,1
Put me in a wheelchair,0
Get me to the gate now,0
Because I need to be there,0
If I'm not in the air,0
In about T minus Fifteen,1
Imma have to go and hijack a machine,0
[Hook],0
"Step back, pull your pants up",0
"Spread your legs, like this",0
Put your hands up,0
It's okay if you touch my dick,0
'Cause this is the security check,0
"Homegirl, spread those cheeks",0
'Till I can see what you ate last week,0
I better not find some shit,0
'Cause this is the security check,0
[Verse 3],0
"Look Mom, I'm alright",1
But I don't think Imma make it home tonight,1
They got me locked up tight,1
Sitting in a cell with two Arabic guys,1
No mom it's cool,0
A dude like me is always gonna get through,0
"Rich, white, jew, I hit 'em with the hebrew",0
MazelTov to you!,1
Shout out to Nexxus,1
Tell him the Lexus,1
Is up front when the publishing check comes,1
And he can go buy some shit,1
'Cause this is the security check,1
[Bridge],0
'Bout to be a classic,0
Let me see that ass on the dance floor spastic,0
Step on the gas bitch and then park that shit,0
'Cause this is a security check!,0
