line,annotated
[Intro:,0
 Nicki Minaj ,0
& Remy Ma],0
"Free Remy!
(Word)",0
You know what? ,0
Free,0
 Remy!,0
"Fuck you, Free Remy",0
!,0
(Fuck Nicki Minaj!),1
Are you dumb?,0
You wore a pink diamond chicken wing chain (Are you dumb?),1
You had a leopard beehive on your head (Are you dumb?),1
(Fuck Nicki Minaj!),1
"Are you forgettin' that I pressed you before, bitch?",1
(Fuck Nicki Minaj!),1
[Hook],0
(I) Fuck with your soul like shETHER,1
"(Will) You ain't the queen, I'll show you",1
(Not) Lipo your ass and belly,1
(Lose) I prove you lost already,1
They told you your whole career,1
"I'd come home and kill you, right? Ha-ha!",1
[Verse],1
I told you I wasn't talkin' about your dumb-ass,1
"It looks stupid, you literally got a dumb ass",1
"Talkin' cray, and we all know that you dumb as",1
"You get Donkey of the Day, yeah, you dumb ass",1
"Let's be honest, you stole that line 'bout bitches bein' your sons",1
How you take my '09 jail tweet and run?,1
Talkin' about bringin' knives to a fight with guns,1
When the only shot you ever took was in your buns,1
"And I saw Meek at All-Star, he told me your ass dropped",1
He couldn't fuck you for three months because your ass dropped,1
Now I don't think y'all understand how bad her ass got,1
The implants that she had put in her ass popped,1
"I was like, ""Damn, 90 days and you couldn't have box?",1
Did she at least compensate? Start givin' you mad top?,1
"Her name Minaj, right? She ain't throw you some bad thots?""",1
"He said ""Nah,"" that's when I knew you was really a trash bop",1
"You was screamin' ""Free Remy!"" when I was upstate doomed",1
But now that they freed Remy you don't sing the same tune,1
"Locked me up, threw away my keys, threw away my weaves",1
"Snatched me from my son, braids to the back, state greens",1
"Daily News, ""Her career's over,"" ""She was kinda stupid,""",1
But you saw a opportunity 'cause you a opportunist,1
Left your Day 1 'cause you heard he was on some cheat shit,1
Then got with the dude that told you on some creep shit,1
"But what happened to Omeeka? Nah, on some G shit",1
Left him and took a pic with the dude he had beef with?,1
And we all know it was a beef that you started,0
"Pillow-talkin' out of your ass, this bitch retarded",0
"Now you gotta die, you dearly departed",0
"Bloodbath when I catch you, a real red carpet",1
"Now what I'ma do, I'ma just stick to the facts",0
"Bitch so scared of my future, got this bitch goin' backwards",0
"Been through mad crews, you disloyal hoochie",1
Now all of a sudden you back with Drake and Tunechi?,1
"After he said you sucked his dick, you back with Gucci?",1
"Who next: Puff, Deb or Fendi? You a A-list groupie",1
"And to be the Queen of Rap, you gotta actually rap",1
The whole industry know that your shit is a wrap,1
"No, to be the Queen of Rap, you can't have a ghostwriter",1
And that's why this is my house; Flo Rida,1
"Niggas done seen Drake pennin', Wayne pennin'",1
"And since your first boyfriend left, bitch ain't winnin'",1
"You a Internet troll, a Web browser, I'm sorry",1
You can't get a on line without Safaree,1
"Mentionin' guns, you Pussy Galore, James Bond",1
