line,annotated
[Intro: 24hrs],0
24hrs,1
OZ on the beat,1
", yeah",0
"[Chorus: 24hrs,",0
MadeinTYO,0
&,0
G-Eazy,0
],0
"The bigger I get, it feel like more stress (Ooh)",1
"YSL jacket and she got the dress (Skrt, sauce)",1
I just talked to God and He said that I'm blessed,0
"(Thank you, Jesus, ooh)",0
I go for the more and you go for the less (Yeah),0
"Ooh, bet I shake it up
Bet I shake it up
Bet I shake it up (Yeah)
She gon' make it up",0
(,0
Gerald,0
),0
"Bet I shake it up
Bet I shake it up",0
(,0
Yeah,0
),0
"Bet I shake it up
She gon' make it up",0
(,0
Yeah,0
),0
[Verse 1: G-Eazy],0
"I came up, it couldn't happen no faster (ooh)",1
"She ain't the baddest here, then I run past her",0
"Party ain't lit, then I get Casper",1
Young Gerald a bastard,1
This flow has been mastered,0
"Could date a hundred years, fuck a million times, won't get my password",1
"The more guala, then the more problems come the bigger you get",1
"I play a show, I just pick up a jet",0
Then I pick up a check,0
Cause and effect,0
"I seen the world, bruh I been to Tibet",0
All of the bags that this kid finna get,0
You out here doin' the same shit again and again,0
I'm surprised we ain't sick of you yet (,0
ooh,0
),0
"Yeah, I sipped the bourbon",0
Bitch I put the work in,0
Look I been a factor,0
"Pull my car, your arm get a fracture",0
"You ain't real, bitch you been a actor",0
I know the soil like I'm in a tractor,0
"Like John Deere, don't wanna take it back there",1
"Look, I'm from the Bay, I touch green all day, look, I'm just like a Packer, yeah",0
40 told me his game evolved,0
"She gave it up, there's probably fame involved",0
Hit the club and we came and balled like Draymond called,0
"Status quo, bitch, I shake it up",0
These white moms who I've shaken up,1
They'd probably vote for Trump,1
But their daughters know that I'm paper'ed up (yeah),1
"[Chorus: 24hrs,",0
MadeinTYO,0
&,0
E-40,0
],0
"The bigger I get, it feel like more stress (Ooh)",0
"YSL jacket and she got the dress (Skrt, sauce)",0
I just talked to God and He said that I'm blessed,0
"(Thank you, Jesus, ooh)",0
I go for the more and you go for the less (Yeah),0
"Ooh, bet I shake it up
Bet I shake it up
Bet I shake it up (Hey)
She gon' make it up
Bet I shake it up
Bet I shake it up",0
(,0
Uh,0
),0
"Bet I shake it up
She gon' make it up",0
(,0
Uh,0
),0
[Verse 2: E-40],0
"Uh, I don't like too many people, they ain't gotta like me",0
36-zipper from a ounce to a key,0
I wanna thank you OB for your presidency,1
For grantin' little D his clemecency,1
Real recognize real when I'm checkin' hella skrill,0
Blowin' big kill on a cliff on the hill,0
Came a long way and it seems so real,0
Used to keeps the block just like a pussy willow,0
"Smokin' big flowers, blowin' on Durban",0
"Pushin' up a rock, go fiend servin'",0
"She natural like a afro, MSG no gluten",0
I'll be rushin' but I never met Putin,1
[Chorus: 24hrs &,0
MadeinTYO,0
],0
"The bigger I get, it feel like more stress (Biatch)",0
"YSL jacket and she got the dress (skrr, sauce)",0
I just talked to God and He said that I'm blessed,0
"(Thank you, Jesus, ooh)",0
I go for the more and you go for the less (Yeah),0
"Ooh, bet I shake it up
Bet I shake it up (Double up)
Bet I shake it up (Hey)
She gon' make it up
Bet I shake it up
Bet I shake it up
Bet I shake it up
She gon' make it up (Uh)",0
[Verse 3: MadeinTYO],0
"Uh, you excited bruh, I can tell",0
Got a couple checks in the mail,0
"Smokin' green, ooh, that's kale",0
Taco Bell,0
"Nigga, pop yo shell",0
"Babylon in the mail, uh",0
"Tomb Raider off the top, uh",0
"Don't save her, she a thot, uh",0
"Diamonds dancin', do the wop",0
"So icy like the Wop, uh",0
"Lego head, do the block, uh",1
"Pop-pop till you stop, uh",0
"You the 12, you the opp, uh",0
"Throw it back for the Gram, uh",0
"Hot dog goin' HAM, uh",0
"Gelato smokin', Shazam, uh",1
"10 bands, Gucci Mane, ooh",0
[Chorus: 24hrs &,0
MadeinTYO,0
],0
"The bigger I get, it feel like more stress (Ooh)",0
"YSL jacket and she got the dress (Skrt, sauce)",1
I just talked to God and He said that I'm blessed,0
"(Thank you, Jesus, ooh)",0
I go for the more and you go for the less (Yeah),0
"Ooh, bet I shake it up
Bet I shake it up (Double up)
Bet I shake it up (Hey)
She gon' make it up
Bet I shake it up
Bet I shake it up
Bet I shake it up
She gon' make it up",0
