line,annotated
[Intro: Plies],0
"Ay, what's happenin homey?",0
"This yo' lil' boy Plies, man (shaw-tay)",0
"Ay Pain, I want you tell 'em bout your shawty homie",0
"(yeah, yeah, yeah, yeaaaaaah)",0
"And I'mma tell em bout mine, dawg",0
[Hook: T-Pain],0
"Now, even though I'm not yo man, you not my girl",1
I'mma call you my - shaaaaaaw-ty...,1
"Cause I can't stand to see you treated bad, I beat his ass",0
For my - shaaaaaaaw-ty...,0
And we ain't did nothin that we ain't sup'POSED to do,0
Cause you my - shaaaaaaw-ty... (oh-oh),0
"Baby girl you know I be home, keep me on the ringtoooone",0
Shaaaaaaw-ty - sang it to me girl!,0
[Plies],0
"Soon as I seen her, shieet, told her I'd pay for it",0
"Lil' mama the baddest thing 'round here, she already know it",0
"I pointed at the donk and told her, ""This s'posed to be yours"" (ha ha!)",0
Showed her a couple stacks and told her I'd let her blow it,0
The hottest nigga in the city baby you can't ignore it,0
I showed her I was a real nigga n' she went for it,0
"First time I caught her shit, she ain't even kno' how to tho'it back",0
"Now she a animal, I got her sex game right",0
I taught her how to talk to me while she take pipe,0
And opened her up and showed her what a real nigga like,0
"I told her, ""I'on't usually do this, I'on't fuck on the first night",0
"Cause after I beat ya baby, I'm liable to fuck up ya whole life!""",0
"I gotta train her, now she suck me with ice",0
"I call her my lil' bust-it baby, cause she keep it tight",0
"Whenever I tell her to bust, ain't gotta tell her twice",0
"Whatever I wanna get off, she know how to get me right",0
[Hook: T-Pain],0
"Now, even though I'm not yo man, you not my girl",0
I'mma call you my - shaaaaaaw-ty...,0
"Cause I cain't stand to see you treated bad, I beat his ass",0
For my - shaaaaaaaw-ty...,0
And we ain't did nothin that we ain't sup'POSED to do,0
Cause you my - shaaaaaaw-ty... (oh-oh),0
"Baby girl you know I be home, keep me on the ringtoooone",0
Shaaaaaaw-ty - sang it to me girl!,0
[Interlude: T-Pain],0
"Oh-oh (whooooooooa), oh-oh, oh-oh, oh-oh (whooooooooa)",0
"Oh-oh, oh-oh (WH-OA-wh-oa, wh-oa), oh-oh, oh-oh, oh-oh",0
"Oh-oh, oh-oh (whooooooooa)",0
"Shawwwwww-DEEEE-EEEE, yeah...",0
"Oh-oh (whooooooooa), oh-oh, oh-oh, oh-oh (whooooooooa)",0
"Oh-oh, oh-oh (WH-OA-wh-oa, wh-oa), oh-oh, oh-oh, oh-oh",0
"Oh-oh, oh-oh (whooooooooa)",0
"(Shaaaaaaw-ty, yeah) SHAW-DEE, whoa, w-w-wh-oa, OH!",0
[Plies],0
"I love to show her off, cause all the dope boys want her",0
"Know why dey wanna beat badly, look at all dat ass on her!",0
"Look how dat pussy sit up in them shorts, you gotta want her",0
Love when she act like she bowlegged and bend the co'ner,0
"She proud to be fuckin me, cause I'm stuntin on 'em!",0
"It feel good to be fuckin a real nigga, do'nuh?",0
"Ain't called her in two days, gotta let her mind wonder",0
"But when she miss me, she call to tell me to jump on her",0
"That's why I don't mind breakin 'er off, cause she ain't with the drama",0
"If you done ripped her before, you know how to cuff lil' mama",0
"You know she gotta be somethin, cause I done beat her hunda",0
"Babe snatchin, not now, I'm tellin ya, I promise!",0
I exposed her to real and now she hate lame,0
"'member she used to run from me, now she like pain",0
She call me sometimes just to ask is it her thang,0
"Ever since I ran up in shawty, she ain't been the same",0
[Hook: T-Pain],0
"Now, even though I'm not yo man, you not my girl",0
I'mma call you my - shaaaaaaw-ty...,0
"Cause I cain't stand to see you treated bad, I beat his ass",0
For my - shaaaaaaaw-ty...,0
And we ain't did nothin that we ain't sup'POSED to do,0
Cause you my - shaaaaaaw-ty... (oh-oh),0
"Baby girl you know I be home, keep me on the ringtoooone",0
Shaaaaaaw-ty - sang it to me girl!,0
[Interlude: T-Pain],0
"Oh-oh (whooooooooa), oh-oh, oh-oh, oh-oh (whooooooooa)",0
"Oh-oh, oh-oh (WH-OA-wh-oa, wh-oa), oh-oh, oh-oh, oh-oh",0
"Oh-oh, oh-oh (whooooooooa)",0
"Shawwwwww-DEEEE-EEEE, yeah...",0
"Oh-oh (whooooooooa), oh-oh, oh-oh, oh-oh (whooooooooa)",0
"Oh-oh, oh-oh (WH-OA-wh-oa, wh-oa), oh-oh, oh-oh, oh-oh",0
"Oh-oh, oh-oh (whooooooooa)",0
"(Shaaaaaaw-ty, yeah) SHAW-DEE, whoa, w-w-wh-oa, OH!",0
