line,annotated
[Intro - Pharrell Williams],0
Shake it up.. shake it up girl,0
Shake it up.. bass,0
Hey! Shake it up.. shake it up,0
[Verse - Pharrell Williams] (Shae),0
She makes me think of lightning in skies,0
(Her name) She's sexy!!,0
How else is - God supposed to write?,0
(Her name) She's sexy!!,0
"Move, she wants to move",0
"But you're hogging her, you're guarding her",0
She wants to move (she wants to move),0
She wants to move (she wants to move),0
"But you're hogging her, you're guarding her (damn!)",0
[Hook - Pharrell Williams] (Shae),0
"Mister! Look at your girl, she loves it!",0
(Look at her) I can see it in her eyes,0
"She (come here babe) hopes this lasts forever, Hey!!",0
[Verse - Pharrell Williams] (Shae),0
Her off beat dance makes me fantasize,1
(Her curves) She's sexy!!,0
Her ass is a spaceship I want to ride,0
(Her ass) She's sexy!!,0
"Move, she wants to move",0
"But you're hogging her, you're guarding her",0
She wants to move (she wants to move),0
She wants to move (she wants to move),0
"But you're hogging her, you're guarding her (beat it!!)",0
[Hook - Pharrell Williams] (Shae),0
"Mister! Look at your girl, she loves it!",0
(I know you love it girl) I can see it in her eyes,0
She - hopes this lasts forever (hey) Hey!!,0
[Interlude/Bridge - Pharrell Williams] (Shae),0
"Ehh, this is your part girl",0
"Uh, this is your part girl!!",0
"(Move, she wants to move) c'mon!",0
"OWW! (Move, she wants to move) ehh",0
"Man (and move, she wants to move)",0
"(Move, she wants to move)",0
"But you're hogging her, you're guarding her",0
BEAT IT!!,0
[Hook - Pharrell Williams] (Shae),0
Mister! Look at your girl (damn) she loves it!,0
(She loves) I can see it in her eyes,0
"She - hopes this lasts forever, Hey!! c'mon",0
Mister! Look at your girl (look at your girl) she loves it!,0
(She wants it) I can see it in her eyes,0
"She - hopes this lasts forever, Hey!!",0
[Outro - Pharrell Williams] (Shae),0
Somebody get us some water in here!,0
Cause it's HOT!,0
"(Yo why you, why you, why you wit that fool?)",0
HOT y'all! Hey! Huuuhh!,0
(I like it when you're wet baby),1
Ehh,0
