line,annotated
[Hook],0
"I heard she mad rich, I heard she dead broke",0
I heard she sniffin' coke - SHUT UP BITCH!!!!,0
"Ayo Kim can spit, man she don't write her shit",0
Nah Biggie wrote her shit - SHUT UP BITCH!!!!,1
"I heard she goin to jail, I heard she out on bail",1
She done fucked up now - SHUT UP BITCH!!!!,1
"Why she got her nosed fixed, why she got bigger tits",0
Why is y'all on my shit damn - SHUT UP BITCH!!!!,0
[Verse 1],0
"Everybody talkin', all these haters hawkin'",0
Paparazzi stalkin' takin' pictures while I'm walkin',0
"Damn can't a bitch breathe, gimmie room please",0
I'm in the paper e'ry day if I piss or sneeze,0
I used to ride in a rental Lebaron,0
Now you can catch me in the SLR Mercedes McLaren (Hey Kim what up),0
"Gotta put the doors up, haters pick ya jaws up",0
I'm in the Trump International,1
",",0
30 floors up (so high),1
"You ain't payin' my bills, so you ain't sayin' nothin'",0
Ain't keepin' it real then you need to stop frontin',0
You say you got this but we don't see nothin',0
And people if you feel me get this whole shit jumpin',0
(Get it jumpin' bitch),0
Used to talk about the way I wore my clothes,0
Now every chick look like Lil' Kim in they videos,1
Now don't come around here with that Wendy Williams shit,1
Get yo facts straight or shut up bitch,1
[Hook],0
"I heard she mad rich, I heard she dead broke",0
I heard she sniffin' coke - SHUT UP BITCH!!!!,0
"Ayo Kim can spit, man she don't write her shit",0
Nah Biggie wrote her shit - SHUT UP BITCH!!!!,0
"I heard she goin to jail, I heard she out on bail",0
She done fucked up now - SHUT UP BITCH!!!!,0
"Why she get her nosed fixed, why she got bigger tits",0
Why don't y'all get off her shit - SHUT UP BITCH!!!!,0
[Verse 2],0
I hate that people starin' cause this chick stay appearin',0
"In somethin' made with German enginerin', rack-n-pinion steerin'",0
Homes with french doors and heated marble floors,0
Whores heated cause Momma back and hotter than before,0
"Big bank, hold rank like the late Frank",0
"I does what you can't, I'm everythin' that you ain't",0
"I'm La Bella Don, the biggest bitch in the biz",0
"So dont hate me nigga, it is what it is",0
"You ain't payin' my bills, so you ain't sayin' nothin'",0
Ain't keepin' it real then you need to stop frontin',0
You say you got this but we don't see nothin',0
And people if you feel me get this whole shit jumpin',0
So don't believe e'rythin' you hear,0
"Just like a q-tip, niggas be all in ya ear, 365 days of the year",0
Shit I done heard it all throughout my career (what they say?),0
[Hook],0
[Verse 3],0
"I just keep climbing up the ladder, y'all never stop my swagger",0
All this petty chitter-chatter only make my packets fatter,0
Some peoples jobs just to talk about Lil' Kim,0
"Let's face it, I'm a way of life for all of them",0
Tabloid magazines rate worst and best dressed,0
They got some nerve when the ones who do the ratings look a mess,0
"Star Jones don't like me, she cheap and I like the best",1
"Damn, it must feel good to Payless",1
"You ain't payin' my bills, so you ain't sayin' nothin'",0
Ain't keepin' it real then you need to stop frontin',0
You say you got this but we don't see nothin',0
And people if you feel me get this whole shit jumpin',0
You know niggas hate to see another nigga eat,0
Quick to put another niggas business in the street,0
"I wish they'd shut the fuck up, damn good grief",0
You know your mouth's a cage for your tongue if you just close your teeth,0
[Hook],0
"I heard she mad rich, I heard she dead broke",0
I heard she sniffin' coke - SHUT UP BITCH!!!!,0
"Ayo Kim can spit, man she don't write her shit",0
Nah Biggie wrote her shit - SHUT UP BITCH!!!!,0
"I heard she goin to jail, I heard she out on bail",0
She done fucked up now - SHUT UP BITCH!!!!,0
"Why she get her nosed fixed, why she got bigger tits",0
Man get off my girl's shit - SHUT UP BITCH!!!!,0
[Outro],0
"Haha I know it's killin' you bitches, I know it's killin' you",0
"She's back, oh my God",0
"You had a voodoo doll and everything, worthless bitch",0
"You just knew, 'Don't let her come back Jesus, please don't let her come back'",0
But she's back bitches,0
"Haha, okay look, just, on the count of three",0
Stop focusing on her and think about you for a second,0
"Now ain't that depressing, ain't it depressin'",0
"See, that's why don't nobody talk about you",0
Ain't nothin' to talk about,0
"Get yourself a hobby bitch, learn how to make a quilt or sumin'",0
"Ha, is it really that you hate you?",0
"That's what it is ain't it, just punch yourself in the mouth then bitch",0
