line,annotated
[Intro],0
"De-de-de-de-de-de-de-de-Deko
OG Parker",0
[Chorus: Quavo],0
"Pop a perky just to start up (pop it, pop it)",1
"Pop two cups of purple just to warm up (two cups, drank)",1
"I heard your bitch, she got that water",1
"(Splash, drip, drip, woo, splash, aye)",1
"Slippery (wow), 'scuse me, please me (please)",1
"Arm up (up), oh, believe me, believe me (believe me)",1
"Get beat (beat), 'cause I'm flexin' 'Rari's (skrt)",1
"You can bet on me (skr, skr, hey, hey, hey)",1
[Verse 1: Quavo],0
"Tater tot, fuck niggas on my radar watch (watchin')",0
"Crocodile hunter, turn 'em to some gator shots (urr)",0
"Iced out watch (ice) ridin' round, ten o'clock (ten)",0
"Ridin' round, geeked up, damn, think it's three o'clock (three)",1
"Four o'clock (four) five o'clock, six o'clock (five)",1
"I'm gon' pop, if I don't, I'm back to the pot (whip)",1
"I got rocks (rocks) big bales, big arms",1
"Tommy gun (prr), come out and play, let's have fun (yeah)",1
"Big scales (scales) fish scale, big weight (fish)",1
"Iceberg (ice) ice tray, ice tray (woo)",0
"Plug called (called) tried to front, I don't need it (brrt)",0
"I don't need it (brrt) pockets strong, wrist anemic (strong)",1
Get freezy (freezy) young nigga pay your debt-is (debt-is),0
Grandma (grandma) auntie Ab and auntie Neesa (Neesa),1
"Uncle Bo (Bo), auntie Greta serve ya perkys (Greta)",0
"Auntie Eva, if she got a pound, she might just serve it (serve)",0
[Chorus: Quavo],0
"Pop a perky just to start up (pop it, pop it)",1
"Pop two cups of purple just to warm up (two cups, drank)",1
"I heard your bitch, she got that water",1
"(Splash, drip, drip, woo, splash, aye)",1
"Slippery (wow), 'scuse me, please me (please)",1
"Arm up (up), oh, believe me, believe me (believe me)",1
"Get beat (beat), 'cause I'm flexin' 'Rari's (skrt)",1
"You can bet on me (skr, skr, hey, hey, hey)",1
[Verse 2: Offset],0
Offset!,0
"Slippery (slip'), she numbin' me, that tongue on me (eghhh)",0
"Honestly (honest) she fuck with me, your wife to be (wife)",0
"In Italy, bought her a fur, look like the wildebeast (wrarr)",1
Just chill with me (chill),0
"It is no worry, it is a bill to me (it ain't nothin')",0
"I pull up Diablo, I pull up with models",1
I gave her her first Philippe (Philippe),1
"We goin' full throttle, she swallowed the bottle",1
I'm all in her ovaries (eghhh),1
I gave her some dollars,1
"I Gucci'd her collar, now she can't get over me (hey)",1
She want a dose of me (dose),0
Just hop in the Ghost with me (Ghost),1
"Perky and molly, don't vote for nobody",0
These bitch ass niggas ain't solid (solid),0
Run in your house and with pumps and the shotties,0
Your mama might be up inside it (bah),0
"Cars robotic, bad bitch with a body",1
But really don't care nothing about it (uh-uh),0
"Cappin' and poppin', I seen that lil' Masi",1
I coulda pulled up and just shot ya (brrt),1
"It's a jungle, I let 'em survive (survive)",0
[Chorus: Quavo],0
"Pop a perky just to start up (pop it, pop it)",1
"Pop two cups of purple just to warm up (two cups, drank)",1
"I heard your bitch, she got that water",1
"(Splash, drip, drip, woo, splash, go aye)",1
"Slippery, 'scuse me, please me (please)",1
"Arm up, oh, believe me, believe me (believe me)",1
"Get beat (beat), 'cause I'm flexin' 'Rari's (skrt)",1
"You can bet on me (skr, skr, hey, hey, hey)",1
[Verse 3: Gucci Mane],0
"I rock water, diamonds, I'm drippin' but not slippin'",1
"I threw a quarter (well damn) but nawl, I'm not trippin'",0
"Bugatti on Forgis,",1
"and nawl, I'm not Crippin'",1
"I buy Ferraris like Jordans, I'm Mike and y'all Pippen",1
"Chillin', just me and my millions",0
"Niggas, they all in they feelin's",0
"My bitches, I spoil them like they chillens",0
"So persistent, if I want it, I go get it",0
"I'm so slimy, grimy, shiesty but still shinin'",0
"Rude and unkindly, cruel with no conscience",0
"Drop the top on College, nigga, I ain't with no-nonsense",1
"And I'm a murderer, nigga, but I don't promote violence",1
[Verse 4: Takeoff],0
Dead shot (brrt) AK make your head rock (brrt),1
"Red dot (pewpew), ",1
retro Air Jord' deadstock (-stock),1
"Lean on rocks (Act) perkys, mollies, xannies, rocks (roxies)",1
"Oxycontin (oxyies) Takeoff, I'm your med doc (Takeoff!)",1
Leg lock (leg) the key I got unlock the box (box),0
"What's in that box (huh?). Don't tell 'em, they might show the cops (shh)",0
Wristwatch (bite) abnormal so I flood the clock (ice),0
"Money flop, panties drop, that's when them titties pop (woo)",0
Free my partners (John Wick),0
'Til they free it's fuck the cops (fuck 'em),0
They know I geek a lot,1
They don't know I keep a Glock (clueless),1
Ain't been no drought (where),1
They think I been sleep a lot,1
They think I'm dumb (dumb),1
They don't know I see the plot (see it),1
Fuck it I seize a knot,0
[Chorus: Quavo],0
"Pop a perky just to start up (pop it, pop it)",1
"Pop two cups of purple just to warm up (two cups, drank)",1
"I heard your bitch, she got that water",1
"(Splash, drip, drip, woo, splash, aye)",1
"Slippery (wow), 'scuse me, please me (please)",1
"Arm up (up), oh, believe me, believe me (believe me)",1
"Get beat (beat), 'cause I'm flexin' 'Rari's (skrt)",1
"You can bet on me (skr, skr, hey, hey, hey)",1
