line,annotated
[Intro],0
Turn the music up for me Chris,0
"Sosa baby, GBE baby",0
Bang bang,0
Bang bang,0
"Sosa baby, GBE baby",0
[Verse],0
"I fucked up, fucking hoes and coming home",0
"And whole time, you was with me right or wrong",0
"And now I'm rich, and I gotta spend nights alone",0
"I'm busy on the road, how'd I found time to write this song?",0
"Baby, you's delirious",0
"Baby, you a big time",0
"I know I'm a dog, but I done fucked your sister",0
"You can be a teacher, I can be your listener",0
"I can be the boat, and you can be the fisher",0
"You're so strong, can I come home?",0
"Baby, you so [?]",0
Your faith is like [?],0
[Hook],0
"Yo, baby do you wanna slow dance? (slow dance)",1
"Oh, do you wanna hold hands? (hold hands)",1
"No, I do not want your friends (your friends)",1
"Ow, I'm chasing you like oh man (oh man)",1
[Verse 2],0
Your curves are so righteous,0
"How do you do it, like that?",0
Your face suitable for my chest,0
"And you're so fine, I like that",0
"You can smoke all my weed, my weed, my weed",0
"And she say, ""Why me, why me, why me?""",0
"Girl you're looking Chinese, Chinese, Chinese",0
"From smoking my weed, my weed, my weed",0
[Bridge],0
"Baby you are my, my, my, my, my, my",0
"You are so just right, right, right, right, right",0
"I love you so, Aiyayayayayai!",0
"I’m sorry if I lied, I’m not that bright",0
[Hook],0
"Yo, baby do you wanna slow dance? (slow dance)",0
"Oh, do you wanna hold hands? (hold hands)",0
"No, I do not want your friends (your friends)",0
"Ow, I'm chasing you like oh man (oh man)",0
