line,annotated
Riding Down Imperial I hope I see my homies,0
"Wearin too much red, And I Ain't got my pistol on me",0
I Went to Get the Activis Then after goin home b,0
Then two cups wit',0
Two blunts and,0
Two bitches on me,0
God damn a nigga like Joey gettin' money,0
I don't know these niggas but these niggas isn't funny yeah,0
Imma make it rain upon ya bitches when it sunny yeah,0
And a pussy nigga try me get the burner to his tummy like,0
(Joey Trap),0
Its KG Smokey nigga the biggest scumbag in the city nigga,0
Nineteen-oh-fo',0
KG fuck a hoe,0
Tell her get her rent money off the floor ya' dig,0
Ya Dig,0
Ya dig (Ya Dig),0
Ya dig (Stupid),0
Ya dig (AY),0
Ya dig (AY),0
Bitch so thick,0
Bitch so thick,0
Bitch so thick,0
Bitch so thick,0
Bitch so thick,0
Bitch so thick,0
Bitch so thick,0
Bitch so thick,0
Ass keep shakin' but the money keep fallin' (money keep fallin' yeah),0
Ass keep shakin' but the money keep fallin' (ass keep on shakin' yeah),0
Ass keep shakin' but the money keep fallin' (money keep fallin' yeah),0
Ass keep shakin' but the money keep,0
Fall--AY (ass keep on shakin' yeah),0
Bitch so thick,0
Bitch so thick,0
Bitch so thick,0
Bitch so thick,0
Bitch so thick,0
Bitch so thick,0
Bitch so thick,0
Bitch so thick,0
Ass keep shakin' but the money keep fallin',0
Ass keep shakin' but the money keep fallin',0
Ass keep shakin' but the money keep fallin',0
Ass keep shakin' but the money keep fall,0
Aye,0
"She call it love, I call it fuckin'",0
"She call it relationship, I call it nothin'",0
"She say she high, I say I'm buzzin'",0
"I got on polo,  I got on Rugby",0
If she fuck me imma pass her to cudi,0
"Pop four xans in my lean, look muddy",0
Bitch wanna fuck but she look too classy,0
And I only wanna fuck if the bitch look nasty,0
"Fo-Forty cal on my hip, set him on his ass cheeks",0
"Joey Trap drive away, chillin in the backseat",0
"Makin money in the whip, feelin' like a taxi",0
"Nine times out of ten, catch me with a bad",0
Yellow bitch with a twin and a dark skin friend,0
Woke up on the bus then I woke up in a benz,0
"Big booty on my lense, tell them hop in",0
"Fake niggas really ridin', hopin' Imma win",0
Pop hella bars like a nigga in the pen,0
Fuc-Fuck her in the mouth now my balls on her chin,0
"I don't really give a fuck, money in the win",0
"All these bitches shakin' ass, do it all again Aye",0
Bitch so thick,0
Bitch so thick,0
Bitch so thick,0
Bitch so thick,0
Bitch so thick,0
Bitch so thick,0
Bitch so thick,0
Ass keep shakin' but the money keep,0
Ass keep shakin' but the money keep,0
Ass keep shakin' but the money keep,0
Ass keep shakin' but the (Aye),0
Aye Yuh,0
Riding Down Imperial I hope I see my homies,0
"Wearin too much red, And I Ain't got my pistol on me",0
I Went to Get the Activis Then after goin home b,0
Then two cups wit',0
Two blunts and,0
Two bitches on me,0
God damn a nigga like Joey gettin' money,0
I don't know these niggas but these niggas isn't funny yeah,0
Imma make it rain upon ya bitches when it sunny yeah,0
And a pussy nigga try me get the burner to his tummy like,0
Purple tears part two wavy no shark food,0
Fuck niggas hatin' imma hit him with the harpoon,0
Hit 'em with the syllables and syllables and words,0
Pussy nigga hatin' imma put him on a shirt,0
"Got her on her knees, Tim Tebow (Tebow)",1
"Ratchet on my hip, Home Depot, mmh",1
"Fuck another bitch to boost my ego, mmh",0
"Got a bitch that's black and Filipino, mmh",0
"Haha, yuh",0
Fuck you know about a nigga diamonds on his teeth,0
I got,0
Bad,0
Bitches,0
Wit me,0
"They be sippin' somethin' sweet, AYE",0
BITCH,0
