line,annotated
[Intro],0
Zaytoven,0
"Ayy, Zay",0
We gon' call this one Spy Kid,0
Yeah,0
[Verse 1],0
"Get out my lab, DeeDee, know you love me 'cause these VVs",0
"I changed the forecast, I be icy-cy",0
"All the young niggas grew up, wanna be me",0
"You can act like it, bitch, I know you see me (Bang, bang, bang)",0
"Told her pull up the creamy, she say she don't eat meat",0
"But I made her eat me, yeah, yeah (Skrrt, skrrt)",0
"Once you call up, got the heated seats (Skrrt, skrrt)",0
"Mobbin' like it's A&E, we runnin' from A to Z, yeah",0
Everything they say is make believe,0
"She thirsty for me like Christmas Eve, tear the bitch down like a Christmas tree (Bang, mmhmm)",0
"These niggas ain't sweet, they bittersweet",0
Swear the life I'm livin' a dream,0
Had her drink semen and I'm on lean (Lean),0
[Chorus],0
"(Ayy, Sosa, what you see?)",0
I spy a hatin' ass nigga over there (I spy),0
I spy a bitch that don't got no hair (I spy),0
I spy a fake ass bubble Moncler (I spy),0
I spy a kid that wanna live a dream (I spy),0
"I spy a fuckin' dinosaur, OMG (I spy)",0
"I spy the view of the city, yeah (I spy)",0
"I spy these thots, some pretty, yeah (I spy)",0
I spy bitch ass niggas over there (Shhh),0
[Refrain],0
"I spy niggas actin' like they jewels so real (Shhh, ohh)",0
I spy my bitch movin' on for real (Shhh),0
"I spy ffr, ffr, another couple mil'",0
"I spy another opp, leave his ass spilled (Shhh)",0
"Made him sign a non-disclosure, business can't spill (Shhh)",0
I spy Jill ass fallin' off a hill (Shhh),0
I spy niggas ain't rollin' like the wheels (Shhh),0
I spy,0
[Verse 2],0
I see bitches lookin' at me (Lookin' at me),0
I speed on my way to get that green (Skrt),0
I see the galaxy in satellite (Satellite),0
I seen your ho later that night,0
I see why she like me,0
She like me because I be icy (Bling),0
"I be breaking the law, ain't Ice-T (Ice-T)",0
I spy your bitch cookin' for me,0
Told that ho to make that shit spicy (Spicy),0
He send a message through his wifey,0
"Talkin' 'bout he don't like me, tell that nigga to fight me (Fight me)",0
"""Sosa you high?"" I might be",0
"Rockin' all that fake shit, you'sa fake ass hypebeast",0
[Chorus],0
"(Ayy, Sosa, what you see?)",0
"I spy a hatin' ass nigga over there (Shh, I spy)",0
"I spy a bitch that don't got no hair (I spy, shh, no hair, bitch)",0
"I spy a fake ass bubble Moncler (I spy, shh, fake ass shit)",0
I spy a kid that wanna live a dream (I spy),0
"I spy a fuckin' dinosaur, OMG (I spy)",0
"I spy the view of the city, yeah (Shh, I spy)",0
"I spy these thots, some pretty, yeah (I spy)",0
I spy bitch ass niggas over there,0
