line,annotated
[Verse 1: Noel Miller],0
My girl wanna go raw,0
She all in my draws tryna give me road head,0
"I'm like ""That's fucking dangerous",0
What kinda game is this?,0
We should do this at home instead wit' a condom in the bed,0
When's the last time you got checked?,0
"We need to take a test before we even think about sex""",0
"To be honest, I'm a virgin but",1
"I get shots for the hep, that's how I stay no stress",1
Now I'ma need written consent,0
Please fill out this form describin' the context,0
Grantin' me the option to feel on your breasts,0
I'm tryna be nasty with some respect,0
Now I know a fuckin' contract seem wild,0
This why I haven't been laid in a while,0
But I never been on Maury,1
I don't ride a Harley,0
'Cause I keep shit safe so I'm never sorry,0
[Verse 2: Cody Ko],0
Mask off but I keep a helmet on,0
It's fucked up to ride a bike with a mask on,0
(It's not safe!),0
Forget fashion,0
And when I'm in the whip I keep the seatbelt fastened (Click),0
"Uh, and in the back I keep a spare tire",0
This verse whack 'cause I don't play with fire,1
"I got bonds, not stocks",1
"Bitch, that's how you save",1
"And when I cross the street, I look both fucking ways",0
"Uh, she wanna fuck, no doubt",0
"She take a trip south, I bag it up when I'm in the mouth",1
"Shit's dry man, feel like a drought",1
"But I keep a clean record, baby, that's what I'm about",0
Last week I had a rash on my knees,0
"I freaked out, thought it was an S-T-Disease",0
"Herpes, or maybe HIV",0
"But I'm cool, it was just poison ivy",0
Word (I'm good),0
