line,annotated
[Produced by the Neptunes],1
[Intro],0
"I'm, I'm actually waitin on the boss now",0
He said we have some kind of special assignment or something,0
"He's supposed to be callin' me, like any minute now, any minute",0
"Hold on, hold on, lemme get the phone",0
Hello? Jackson here,0
"Ya, what? you found Manuel Noriega?",1
In the Philipines?,0
He has a mansion?,0
"Ok, we're on it, we're on it right now... bye",0
[Hook: Noreaga and Tammy Lucas],0
"What, what, what, what, what, what, wh-what!",1
Superstar,0
[Verse 1],0
We light a candle,1
Run laps around the English Channel,1
"Neptunes, I got a cocker spaniel",1
"We on the run now, you know it ain't no fun now",1
"And where I go, yo niggas can't even come now",0
"You hate the law, nigga break it",1
", I don't care",0
"But when you get caught, remember that I don't care",0
"N.O.R.E., loved throughout the atmosphere",0
"That mean now we on the run, yo if that ain't clear",0
Weak niggas wanna snitch yo but that ain't fair,0
"Yo we down in Vegas, money, skies too courageous",0
I know I'm on the run but still rip stages,1
"They call me animal thug, when I'm in cages",0
"I used to boost razors, roll dice with no aces",0
Now I live secluded in the oasis,0
"Gotta take spaces, no time for car races",0
"Check my Skytel, I got five pages",0
[Hook],0
[Verse 2],0
"Yo hit Lousiana, then Atlanta, Indiana",0
"Forget a city slicker,",0
got country grammar,1
Aiyyo we goin places where my SoundScan ain't tough,1
"To where I say I ain't Nore, yo it ain't that rough",1
"I leave the jake in my face, asking all this stuff",1
"I gotta keep my mouth shut and don't say what, what",1
"But yo it's hard to, knuckleheads got the heart to",0
"Yo from New Orleans, L.A., V.A. to Queens",1
"The I-95, now we hit the Philippines",1
"But now it's different, we gotta stay sober",0
"Yo, communicate, StarTAC, Motorola",1
"Keep it on the hush hush, don't talk too much",1
Thugged Out Entertainment,1
", you know we touch",0
All our whips got navigation,1
While your whips is just garbation,1
Is you knowing what you facing?,0
[Hook],0
[Hook 2: Pharrell],1
"This is the life, yo, of a superstar",1
Fly ass mansions and a million cars,1
Gotta get the cash yo,1
And it's live or die,1
The Neptunes and Noreaga,1
The limit is the sky,1
[Verse 3],0
"Yo, lemme do it again, do it to win",0
"Last album was a eight, this one is a ten",1
"And when Capone come home, we gon' triple the sin",1
"Yo I love my family, treat my folks like kin",0
"Rock a ’embrero, like I'm Mexican",0
"Shouting out my pops, cause yo next to him",0
He told me every thug nigga is a gentlemen,0
"So I took heed, take my time still won't speed",0
"You know a nigga got kids, so my family need",1
A little more than they used to get,1
Real not the duplicate,0
"Taking no falls, making y'all just recouping it",0
"Doing it up, tell me whatcha wanna do wit' it",0
"Capone's plan, passport to foreign land",0
"Overseas in Japan, politicking with Chan",1
"Yo, N-E-P-T-U-N-E-S",0
"The way they lace a beat like one of the best, what?",0
[Hook],0
[Hook 2],0
"Yo, N.O.R.E., Nore, stand for now we on the run eating",0
