line,annotated
"Let me, let me practice.. hehehe, ehehe",1
"Talib.. T'Kwi, Kweli - I can't say it!",1
That's wack..,1
[Talib Kweli and Vinia Mojica],0
Yeah.. yeah..,0
Yeah.. yeah..,0
Yeah.. yeah..,0
"Yeah, you pronounce my name (Kweli), any questions?",1
I bring many blessings with my man Hi-Tek,1
and he from the Natti (Natti),1
We make the sky crack,1
",",0
feel the fly track,1
Get your hands up like a hijack,1
"Fist in the air for (Kweli),",0
Keep 'em there like,1
Natural mystic or smoke when they spliffs lit,1
"It's a revolutionary (party), they ask me what I'm writin for",0
I'm writin to show you what we fightin for,0
Say Taleeb or Talib,1
(Kweli),0
If it's hard try spellin it phonetically,1
If not then just let it be like Nina Simone,1
You probably (ably) don't listen B,0
Even when we suffer losses I count the victories,1
Sometimes it's far and between I'm sad to say,0
It got my brain crowded like sunset on a Saturday,1
I know my son wept cause his dad's away,1
Stop cryin be strong for your momma is what I had to say,1
[Hook 1],0
To my little man named Amani (mani),0
"Start the party,",0
my crew hot feel these two shots,1
Like the blast from a double barrel shottie,1
(shottie),0
"It's got to be, your man Hi-Tek and Kweli",1
Who make you rock your body (body),0
"Start the party, my crew hot feel these two shots",1
Like the blast from a double barrel shottie (shottie),1
"It's got to be, your man Hi-Tek and Kweli",0
[Hi-Tek],1
I remember when it all started,0
Back in the day when me and moms first parted,0
Hi-Tek from the beginnin I stayed advanced,1
"A young chameleon, adapt to any circumstance",1
Peep game nigga never been a lazy nigga,0
Stayed on my hustle concentrate to get the paper bigger,0
"Stay focused, while other cats stay hopeless",0
While niggas stay high I stay lower,0
Stacking my chips to get a foreclosure,0
This shit ain't over..,0
"Going for the gusto, keep getting that provo",1
It's Hi-Tek (and Kweli),0
on the track like Flo Jo,1
Bet you ain't even know I had flow though,1
[Hook 2],0
"Yo, make you rock your body (body)",0
"Start the party, my crew hot feel these two shots",0
Like the blast from a double barrel shottie (shottie),0
"It's got to be, your man Hi-Tek and Kweli",0
Keep on dancing,0
"Ya gotta keep on dancing, oh oh ohhhhhh, yeah yeahhhhhhh",0
Keep on dancing,0
"Ya gotta keep on dancing, oh oh ohhhhhh, yeah yeahhhhhhh",0
Keep on dancing,0
"Ya gotta keep on dancing, oh oh ohhhhhh, yeah yeahhhhhhh",0
Keep on dancing,0
"Ya gotta keep on dancing, oh oh ohhhhhh, yeah yeahhhhhhh",0
[?],0
