line,annotated
[Intro: Lil' Kim & Mr. Cheeks],0
Whoa! (Whoa!) Whoa! (Yeah),0
Aiyyo Tim man this the jump off right here man! (Jump off!),0
Whoa! (Whoa!) Whoa! (Whoa!) Whoa! (It's Queen Bee nigga),0
It's the jump off (Come on),0
[Verse 1: Lil' Kim & Mr. Cheeks],0
I been gone for a minute now I'm back with the jump off (Jump off),1
Goons in the club incase somethin jumps off,0
And back up before the hive let the pump off,0
In the graveyard is where you get dumped off,0
All we wanna do is party (Woo!),0
And buy everybody at the bar Bacardi (Woo!),0
Black Barbie dressed in Bulgari,1
I'm tryin to leave in somebody's Ferrari,0
Spread love that's what a real mob do,0
Keep it gangsta look out for her people (For her people),0
"I'm the wicked bitch of the east, you better keep the peace (Aiyyo!)",0
Or out come the beast,0
We the best still there's room for improvement,0
Our presence is felt like a Black Panther movement,1
Seven quarter to eights back to back with 'em (Back to back),0
And I'm sittin on chrome seven times platinum,0
[Hook: Lil' Kim & Mr. Cheeks],1
"This is for my peeps, with the Bentleys, the Hummers, the Benz",0
Escalades twenty three inch rims (Oh!),0
"Jumpin out the Jaguar with the Tims, keep your bread up",1
"And live good, East coast West coast worldwide",1
All my playas in the hood stay fly,1
And if your ballin let me hear you say right (Right),1
[Verse 2: Lil' Kim & Mr. Cheeks],0
It's Lil' Kim and Timbaland niggas shit ya drawers (Come on),0
Special delivery for you and yours (Now),0
I rep for bitches he rep for boys (Uh ha),0
If you rep for your hood then make some noise,0
I got my eye on the guy in the Woolrich coat,0
Don't he know Queen Bee got the ill deep throat?,0
Uh! Let me show you what I'm all about,0
How I make a Sprite can disappear in my mouth....HO!!!!,0
"Shake up the dice, throw down your ice (What)",0
Bet it all playa fuck the price,0
Money ain't a thing throw it out like rice,0
Been around the world cop the same thing twice,1
Rub on my tits (Huh!) squeeze on my ass (Oooh!),0
Gimme some UH!!! step on the gas (Ah),0
Pop the cork and roll up the hash (Roll it!),0
"You know what we about, sex, drugs and cash",0
[Hook: Lil' Kim & Mr. Cheeks],0
"This is for my peeps, with the Bentleys, the Hummers, the Benz",0
Escalades twenty three inch rims (Oh!),0
"Jumpin out the Jaguar with the Tims, keep your bread up",0
"And live good, East coast West coast worldwide",0
All my playas in the hood stay fly,0
And if your ballin let me hear you say right (Right),0
[Verse 3: Lil' Kim & Mr. Cheeks],0
Enter the world of the Playboy pin up girl,0
Buttnaked dressed in nothin but pearls,0
"You wanna meet me cause ya, know I'm freaky",0
"And ya, wanna eat me cause ya, say I'm sexy",0
Got a man in Japan and a dude in Tahiti,1
Believe me sweety I got enough to feed the needy,0
No need to be greedy I got mad friends that's pretty (Hey!),0
Chicks by the layers (And) all different flavors (Woo!),0
Mafioso that's how this thing go (Yeah),1
Now everybody come get with the lingo,0
"Shake your body body, move your body body (Body body)",1
On the dancefloor don't hurt nobody body (Body body),1
I'm the one that put the Range in the Rover,1
When I'm steppin out the Range yo it's over,0
Comin through in the Brooklyn Mint gear,0
We 'gone do this just like Big Poppa was here,1
[Hook: Lil' Kim & Mr. Cheeks],0
"This is for my peeps, with the Bentleys, the Hummers, the Benz",0
Escalades twenty three inch rims (Oh!),0
"Jumpin out the Jaguar with the Tims, keep your bread up",0
"And live good, East coast West coast worldwide",0
All my playas in the hood stay fly,0
And if your ballin let me hear you say right (Right),0
[Outro: Mr. Cheeks],0
"Yeah, to the what, yeah, oh, yo, keep your bread up, yeah, and worldwide",0
"And stay fly nigga, yeah man, right right right right, Queen Bee, LB",0
"Two thousand and, fuckin three, why not? we makin it hot",0
"Come to, blow the spot, come on, yeah, Hey yo",0
"She back at it, why wouldn't she be? come on, yeah",0
"B.I.G. Freaky Tah, yeah yeah yeah, L's, light 'em, oh",0
Hmm hmmm,0
