line,annotated
[Intro],0
You just popped in the Kanye West,0
Get Right for the Summer,0
workout tape,0
And ladies if you follow these instructions exactly,1
"You might be able to pull you a rapper, a NBA player",1
"Man, at least a dude with a car",0
"So, first of all, we gonna work on the stomach",1
Nobody wants a little tight ass,1
[Verse 1],0
"1, and 2, and 3, and 4, and get them sit ups right, and",0
Tuck your tummy tight and do your crunches like this,0
"Give head, stop, breathe, get up, check your weave",1
Don't drop the blunt and disrespect the weed,0
Pick up your son and don't disrespect your seed,0
It's a party tonight and ooh she's so excited,0
"Tell me who's invited: you, your friends and my dick",0
(AH!) What's scary to me is,1
Henny makes girls look like Halle Berry to me,1
"So excuse me miss, I forgot your name",1
"Thank you, God bless you, good night I came, I came, I came",1
[Chorus],0
It's been a week without me,0
And she feel weak without me,0
She wanna talk it out but,0
Ain't nothing to talk about,0
Unless she's talking about freaking out,0
Then maybe we can work it out,0
"Work it out, work it out",0
"Work it out, work it out now",0
Maybe we can work it out,0
[Verse 2],0
"Oh, girl, your silhouette make me wanna light a cigarette",0
My name Kanye from the Jigga set,1
",",0
"Twista said ""Get It Wet""",1
Ooh girl your breath is harsh!,1
Cover your mouth up like you got SARS,1
Off them tracks yea I bought them cars,1
"Still, kill a nigga on 16 bars",1
"We ain't sweating to the oldies, we juking to a cold beat",1
Maybe one day girl we can bone,0
So you can brag to all your homies now,0
"But I still mess with a big girl, if you ain't fit girl, I'll still hit girl",1
"1 and, you brought 2 friends, ok, 3 more now hop in the Benz",0
"4-door: do you know the difference between a 5, 6, 7, 8?",0
"All the mocha lattes, you gotta do Pilates",1
You gotta pop this tape in before you start back dating,0
"Hustlers, gangstas, all us ballas",0
[Chorus],0
It's been a week without me,0
And she feel weak without me,0
She wanna talk it out but,0
Ain't nothing to talk about,0
Unless she's talking about freaking out,0
Then maybe we can work it out,0
"Work it out, work it out",0
"Work it out, work it out now",0
Maybe we can work it out,0
[Interlude],0
[Jill],1
"Hi, my name is Jill, I just want to say thanks to Kanye's workout plan. I was able to pull a NBA player. And like now I shop every day on Rodeo Drive. I just want to say, thank you Kanye! Woooo! Woooo! Woooo!",1
[Lasandra],0
"My name is Lasandra, and I just want to say that ever since listening to Kanye's workout tape, I was able to get my phone bill paid,",0
I got sounds and 13's put up in my Cavalier,1
and I was able to get a free trip to Cancun.,0
And what's most importantly is that I ain't gotta fuck with Ray-Ray's broke ass no mo',1
[Kanye West],1
Work it (mo'),0
Juke it (mo') Pump it (mo'),0
Chi-Town (mo') Let's go (mo'),0
[Ella-May],0
"My name is Ella-May from Mobile, Alabama, and I just want to say since listening to Kanye's workout tape",1
",",0
I been able to date outside the family,1
", I got a double wide,",0
"and I rode a plane, rode a plane, rode a plane",1
[Girls],0
Thanks to Kanye's workout plan,0
I'm the envy of all my friends,0
See I pulled me a baller man,0
And I ain't gotta work at the mall again,1
[Interlude: Bosko & (Kanye)],0
(Lemme break ya wit' a piece of),0
My favorite work out plan (oh! oh! oh!),0
I wanna see you work out,0
"(Yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah)",0
I wanna see you work out,1
(It's like that old Michael Jackson shit),1
[Bridge],0
"That's right, put in work, move your ass, go berserk",1
"Eat your salad, no dessert",1
", get that man you deserve",0
[Interlude: Bosko & (Kanye)],0
It's Kanye's workout plan,0
I said it's Kanye's workout plan (Ladies and gentlemen),1
It's Kanye's workout plan (Allow myself to introduce myself),1
"His workout plan (This time around, I want y'all to clap like this",1
),0
[Bridge],0
"That's right, put in work",0
"Move your ass, go berserk",0
"Eat your salad, no dessert",0
Get that man you deserve (Stop!),0
[Interlude: Bosko & Kanye],0
"It's Kanye's workout plan (Okay, breathe)",0
I said it's Kanye's workout plan (I know y'all ain't tired),0
It's Kanye's workout plan (But I hope not 'cuz on this one I need ya),0
His workout plan,0
"(To give me a soul clap, okay?)",1
(Double time),1
[Bridge: GLC & (Kanye)],0
"That's right, put in work (Woo!)",0
"Move your ass, go berserk (Ow!)",0
"Eat your salad, no dessert (Ugh!)",0
Get that man you deserve,0
"That's right, put in work (Put in work)",0
"Move your ass, go berserk (Go wizzerk)",0
"Eat your salad, no dessert (No dessert)",0
"Get that man you deserve (You hear, ugh)",0
"That's right, put in work (That's right put in work)",0
"Move your ass, go berserk (Go wizzerk)",0
"Eat your salad, no dessert (Eat your salad, no dessert)",0
Get that man you deserve (Woo!),0
[Outro: Bosko & (Kanye)],0
"(Okay, okay, okay, that's, that'd be good)",0
(I appreciate your time),0
I want to see you work out for me,1
"Whoa, yeah, whoa yeah",1
"Do-do-do-do-do-do-do-do-do-do, yo",1
