line,annotated
[Verse 1: Big Boi],0
"Ready for action, nip it in the bud",0
"We never relaxing, OutKast is everlasting",1
"Not clashing, not at all",1
But see my nigga went to do a little acting,1
"Now that's for anyone asking, give me one pass 'em",0
"Drip drip drop, there goes an eargasm",0
Now you cumming out the side of your face,0
We tapping right into your memory banks - thanks!,0
"So click it or ticket, let's see your seat belt fastened",1
"Trunk rattling, like two midgets in the backseat rassling",1
Speakerboxxx vibrate the tag,1
Make it sound like aluminum cans in a bag,0
But I know y'all wanted that 808,1
Can you feel that B-A-S-S bass?,1
But I know y'all wanted that 808,1
Can you feel that B-A-S-S bass?,1
[Hook: Sleepy Brown],1
I like the way you move,0
I like the way you move wooo,0
I love the way you move,0
"I love the way, I love the way",0
I love the way you move,0
I love the way you move wooo,0
I love the way you move,0
"I love the way, I love the way",0
[Verse 2: Big Boi],0
"The whole room fell silent, the girls all paused with glee",0
"Turning left, turning right, are they looking at me?",0
"Well I was looking at them, there there on the dancefloor",0
"Now they got me in the middle, feeling like a man-whore",0
Especially the big girl,0
"Big girls need love too, no discrimination here squirrel",0
So keep your hands off my cheeks,0
"Let me study how you ride the beat, you big freak",0
Skinny slim women got the cameltoe within them,0
"You can hump them, lift them, bend them, give them",0
"Something to remember, yell out",0
Timber when you fall through the chop shop,0
Take a deep breath and exhale,0
Your ex-male friend boyfriend's boring as hell,1
But let me listen to the story you tell,1
And we can make moves like a person in jail,1
"On the low, ho",1
[Hook: Sleepy Brown],0
I like the way you move,0
I like the way you move wooo,0
I love the way you move,0
"I love the way, I love the way",0
I love the way you move,0
I love the way you move wooo,0
I love the way you move,0
"I love the way, I love the way",0
[Verse 3: Sleepy Brown],0
"Hey baby, girl don't you stop it",1
"Come on lady, dance all around me",1
You look so fine (look so fine) look so fine,1
You driving me out my mind (out of my mind),1
"Out my mind, ooooh baby",1
If I could I would just be with you baby,1
"Oooh cause you light me, and excite me",1
"And you know, you got me baby, whoo!",1
[Hook: Sleepy Brown],0
I like the way you move,0
I like the way you move wooo,0
I love the way you move,0
"I love the way, I love the way",0
I love the way you move,0
I love the way you move wooo,0
I love the way you move,0
"I love the way, I love the way",0
