line,annotated
[Intro],0
"San-tana, aight",1
"It's Dipset, bitch!",0
"There it go, baby don't stop now",0
"There it go, baby don't stop now",0
[Hook],0
There it go,0
"Damn, shorty look good and I'm thinking 'bout getting at her",1
"Okay, time to whistle at her",1
"Ay, girl – you make – my whistle blow",0
"There it go, bring it here baby",0
"There it go, bring it here baby",0
[Verse 1],0
Top down and I'm at it again,1
"It's hot now and I'm at it to win, you heard me?",1
Who want it with me? Nobody want it with me,0
"Oh, I'm so fly, oh, mami come and get me",0
"Sit it down, back up, bring it on back up",0
"Move it 'til you feel something hard on your back, ugh",0
"There it go, if you want it, come and get it",0
"I ain't kidding I'm with it, here it go, go",0
So girl – let me – see you get low,0
"There it go, yeah, just like that",0
Move the thang like a boomerang and come right back,1
"There it go, I don't need to ask I proceed to grab her",0
"Chicks love my G'd up swagger, there it go",0
[Hook],0
There it go,0
"Damn, shorty look good and I'm thinking 'bout getting at her",0
"Okay, time to whistle at her",0
"Ay, girl – you make – my whistle blow",0
"There it go, bring it here baby, come on",0
"There it go, bring it here baby, come on",0
"Ay, girl – let me – see you get low",0
"There it go, set it down baby",0
"There it go, set it down baby",0
"There it go, it's Dipset",0
"There it go, aight, aight, aight",0
"There it go, it's Dipset",0
"There it go, aight, aight",0
[Verse 2],0
"I got to get it,",0
I'm so hot terrific,1
So not fair to the other guys that's in it,0
I know not my limit cause no sky's the limit,0
"'til then I'm doing my, doing my, doing my thing",0
"So baby keep moving your, moving your, moving your thing",0
"And that'll keep you in the, you in the, you in the ring (or maybe not)",0
"Ay, girl – you make – me want to know",0
"You do it like a pro, lil' lady",0
"If so bring it here, let it show, lil' lady, there it go",0
"Let's go, lil' lady, to the crib",0
"To the tele, you know, lil' lady",0
"Um, yes girl, um, yes we can have a cum-fest, girl",0
"'til the sun sets girl, girl",0
But first I gotta get you undressed girl,0
So take off them clothes and get undressed girl,0
[Hook],0
