line,annotated
[Intro],0
"Red Lyfe, baby",0
Suu whoop,0
[Verse],0
"Uh, I keep a bad bitch not a catfish (Okay)",0
"My last bitch, left her in the past tense (Okay)",0
"Thotiana, real name Tatiana (Okay)",0
"Body like Rihanna, but she not Rihanna (No way)",0
"I make the pussy wet, she need a mop-iana, (Ooh) when she bust down make her buss it like a Glock-iana (Grrt)",0
She love it when I eat the boxi-iana (Ooh),0
"Make her body jerk, legs lock-iana (Ooh)",0
"I beat the pussy, then I beat the block-iana (Beat it)",0
'Cause bitch I gotta get back to the guap-iana (Beat it),0
"She my trap queen, call her Trapiana (Ooh)",0
And we strap-iana never lackiana,0
I hit it from the back she got the fatty on her (Ooh),0
She can turn a bad day into a happy hour (Ayy),0
And she got that coochie-oochie wallie-wallie (Ayy),0
And,1
"my shmoney dance,",1
then I catch a body,1
(Shmoney),0
Me you and Hennessy do not try me (Try me),1
I just wanna put my face in that punani (Brr),1
We don't love Headphanie,1
We don't love no thotties,1
(No),0
She put my name on it she my walking ID (Ooh),0
Kill the kitty now she a walking zombie (Okay),0
Make the pussy drip-drip-drip like a IV,0
"Ooh, Thotiana (Tati)",0
Half-savage half-primadonna (Ahh),0
I don't want the check if I don't see a comma (No-no),0
When I see her pussy I see the Bahamas,0
You wanna cry in the Bentley or cry in a Honda?,1
You want the steak and lobster or you want McDonald's?,1
"Bitch, make a choice 'cause it's either other",1
"She said she sticking wit' a nigga like Benihanas (Yeah, ayy)",0
Paparazzi taking pictures of us (Chica-chica-chica-chica-ch),1
"A nigga said she should've ducked quicker, Lori-ana (Ooh, I see you baby)",1
"Ayy, I told her put the hoodie on I was tryna hide her (Ahh)",0
"Homie tricking on her, I just bought her flowers (Ahh)",0
Before I buy a bitch I need to know her mileage (Facts),0
"50K or more she a thotiana (Yeah, that's a thot)",0
And every nigga drive her (Skrt),0
"No, no, no that's a nada (No-no)",0
"We ain't buying Gucci, we ain't buying Prada (No-no)",1
[Outro],0
"Ahh, hahaha",0
"Let's get it, yeah",0
It's MA,0
"It's Red Lyfe, baby",0
Ooh,0
