line,annotated
[Intro: RiFF RAFF],0
T-T-T-Tip,0
Draggin-Draggin' to the floor,0
T-T-T-Tip,0
Draggin-Draggin' to the floor,0
[Chorus: RiFF RAFF],0
Tip-toeing through the jewelry store,0
Christian Dior mink draggin' to the floor,0
I don't really care 'bout money anymore,0
Pay me in jewels while I'm pouring up a four,0
Tip-toeing through the jewelry store,0
Christian Dior mink draggin' to the floor,0
I don't really care 'bout money anymore,0
Pay me in jewels while I'm pouring up a four,0
[Verse 1: RiFF RAFF],0
I-I-I been blessed today,0
"No girlfriend, no stress today",0
"Never was a child, so I never got to play",0
"You know crime pays, no minimum wage",0
It's closing time,0
"Fishscale falls on my charm, moonshine",0
Midnight falls in the cold moonlight,0
Crimes get organized,0
Diamonds drippin' out the gym,0
While I'm watching my huskies swim,0
Can't imagine life any other way,0
Dale Dan Tony on a razorblade,0
[Chorus: RiFF RAFF],0
Tip-toeing through the jewelry store,0
Christian Dior mink draggin' to the floor,0
I don't really care 'bout money anymore,0
Pay me in jewels while I'm pouring up a four,0
Tip-toeing through the jewelry store,0
Christian Dior mink draggin' to the floor,0
I don't really care 'bout money anymore,0
Pay me in jewels while I'm pouring up a four,0
[Verse 2: Chief Keef],0
Tip-toeing to the Louis store,0
I don't really care about nothin' anymore,0
"Grandma say I grew up, I ain't stubborn anymore",0
I think that ho mad we ain't fuckin' anymore,0
Tip-toeing to the Gucci store,0
"Pussy, why you lookin' at my jewelry for?",0
That's that shit that I might get a jury for,0
"You tuckin' your shit, why you buy that jewelry for?",0
Tip-tip-toeing on the marble floors,0
"Thug life, feelin' like 2Pac Shakur",0
"We was tip-toeing on your block, lil' boy",0
"No James Harden, on my wrist a block, lil' boy",0
[Chorus: RiFF RAFF],0
Tip-toeing through the jewelry store,0
Christian Dior mink draggin' to the floor,0
I don't really care 'bout money anymore,0
Pay me in jewels while I'm pouring up a four,0
Tip-toeing through the jewelry store,0
Christian Dior mink draggin' to the floor,0
I don't really care 'bout money anymore,0
Pay me in jewels while I'm pouring up a four,0
