line,annotated
[Intro],0
"Left Brain,",1
Wolf Haley,1
"Golf Wang,",0
"Free Earl, uh",1
[Verse 1],0
Goddamn I love women,0
Daydream about penis being in 'em,0
Meet them with a big grin with a Mac-10,1
"Rope, katana, and then I skin 'em",1
All beige suit made out of white women,1
"With the red lipstick, dancing to John Lennon",1
With the red splattered jeans made out of blue denim,0
They can catch me in the spot where the sun don’t shine,1
"Bitch don’t mind me, shake your hiney",1
The only motherfucking Wolf here that spit venom,0
You’re a bad bitch with a real good kitten,0
And I got the appetite of them fat black women,0
Wolf Gang in this bitch with a bunch of rats with 'em,0
Lookin' like the holocaust with Supreme hats with 'em,1
I am tryna get Miss Piggy by the motherfucking hairs of her chinny chin chin,1
"Umm, what’s that? The cock of a black dude",0
"Mad cause his daughter got the swag of a vacuum (aww, fuck it)",0
"I’ll take her to the back room dungeon, fighting and punching",1
And now the slut is under the fucking assumption,0
That I will be fucking and munching her muffin,0
"Cunt will be bleeding, but that’s not from the time signature of the month, umm",0
[Hook],0
(It’s because) I’m Dracula bitch,0
Don’t got a problem smacking a bitch,1
"Kidnapping, attacking, with axes and shit",0
'Til I grab them throats and start smacking them shits,0
(It’s because) I’m Dracula bitch,0
Don’t got a problem smacking a bitch,0
"Kidnapping, attacking, with axes and shits",0
'Til she decides to take Dracula’s dick,0
[Verse 2],0
Goddamn I love bitches,0
Especially when they only suck dick and wash dishes,0
Cook and clean and grant my wishes,0
And make me and the Wolf Gang sandwitches,1
"Transylvania crypt let's take a, tour",0
"Bitch try getting through that black trap, door",0
Keep yelling and working them vocal chords,0
"And that’ll be more of a reason that you'll get slapped up, for",0
Is that Ford trunk's comfy?,1
(Fuck you!),0
"Fuck me? No, fuck Buffy",0
That little bitch keeps trying to hunt me,0
"Jumping over gates, what the fuck she want from me?",0
She keeps sending me garlic,0
How many times I gotta tell her I’m allergic,0
(I like your cape) Oh this Bathing Ape cape?,0
"Bitch, I got it for a bargain at the neighborhood Target",1
Fangs are sharp and I hope you know,0
That all I really want from you is that throat,0
I can’t eat pussy cause I might leave cuts,1
"Then there’s blood on my sheets, but that might be a plus",0
"On the channel, a fucking animal, leaking like pairs of candles",0
"Bitch, is it hard to handle?",0
"I don’t want a bride,",1
I just want bone marrow,1
[Hook],0
(It’s because) I’m Dracula bitch,0
Don’t got a problem smacking a bitch,0
"Kidnapping, attacking, with axes and shit",0
'Til I grab them throats and start smacking them shits,0
(It’s because) I’m Dracula bitch,0
Don’t got a problem smacking a bitch,0
"Kidnapping, attacking, with axes and shits",0
'Til she decides to take Dracula’s dick,0
[Outro],0
"Bite her in her fucking neck, bite her in her fucking neck",0
"Bottom of the fucking lake, bottom of the fucking lake",1
Call my gang of wolves,0
"and bats,",1
call my gang of wolves,0
and bats,1
"It’s a full moon tonight, and these hoes ain’t acting right",1
"It’s because I’m Dracula bitch, (swag, swag, swag)",0
It's because;,0
Left Brain,1
",",0
Wolf Haley,1
",",0
Free Earl,1
", Golf Wang...",0
