line,annotated
[Intro],0
RGF productions,1
"Remy Boyz, yah-ah",1
"1738, ayy",1
[Refrain],0
"I'm like ""Hey, what's up? Hello"" (Ayy)",1
Seen yo pretty ass soon as you came in the door,1
"I just wanna chill, got a sack for us to roll",1
"Married to the money, introduced her to my stove",1
"Showed her how to whip it, now she remixin' for low",1
"She my trap queen, let her hit the bando",1
"We be countin' up, watch how far them bands go",1
"We just set a goal, talkin' matchin' Lambos",1
"At 56 a gram, 5 a hundred grams though",1
"Man, I swear I love her, how she work the damn pole",1
"Hit the strip club, we be lettin' bands go",1
"Everybody hatin', we just call them fans, though",1
"In love with the money, I ain't never lettin' go",1
[Chorus],0
And I get high with my baby (My baby),1
"I just left the mall, I'm gettin' fly with my baby, yeah",1
And I can ride with my baby (My baby),1
"I be in the kitchen cookin' pies with my baby, yeah",1
And I can ride with my baby (My baby),1
"I just left the mall, I'm gettin' fly with my baby, yeah",1
And I can ride with my baby,1
I be in the kitchen cookin' pies,1
[Verse 1],0
"I'm like, ""Hey, what's up? Hello""",1
"I hit the strip with my trap queen, 'cause all we know is bands",1
I just might snatch up a 'Rari and buy my boo a Lamb',1
"I just might snatch her a necklace, drop a couple on a ring",1
She ain't wantin' for nothin' because I got her everything,1
It's big ZooWap from the bando,1
Remind me where I can't go,1
Remy Boyz got the stamp though,1
Count up hella them bands though,1
Boy how far can your bands go?,1
"Fetty Wap, I'm livin' 50 thousand K how I stand though",1
If you checkin' for my pockets I'm like…,1
[Chorus],0
And I get high with my baby (My baby),1
"I just left the mall, I'm gettin' fly with my baby, yeah",1
And I can ride with my baby (My baby),1
"I be in the kitchen cookin' pies with my baby, yeah",1
And I can ride with my baby (My baby),1
"I just left the mall, I'm gettin' fly with my baby, yeah",1
And I can ride with my baby (My baby),1
I be in the kitchen cookin' pies,1
[Refrain],0
"I'm like, ""Hey, what's up? Hello""",1
Seen yo pretty ass soon as you came in the door,1
"I just wanna chill, got a sack for us to roll",1
"Married to the money, introduced her to my stove",1
"Showed her how to whip it, now she remixin' for low",1
"She my trap queen, let her hit the bando",1
"We be countin' up, watch how far them bands go",1
"We just set a goal, talkin' matchin' Lambos",1
"At 56 a gram, 5 a hundred grams though",1
"Man, I swear I love her how she work the damn pole",1
"Hit the strip club, we be lettin' bands go",1
"Everybody hatin', we just call them fans though",1
"In love with the money, I ain't never lettin' go",1
[Verse 2],1
I be smokin' dope and you know Backwoods what I roll,1
"Remy Boyz, Fetty eatin' shit up, that's fasho",1
"I'll run in ya house, then I'll fuck your ho",1
'Cause Remy Boyz or nothin',1
"Re-Re-Remy Boyz or nothin', yeah",1
[Outro: Nitt Da Gritt],0
"Yeah, you hear my boy",1
Soundin' like a zillion bucks on the track,1
"I got whatever on my boy, whatever",1
Put your money where your mouth is,1
Money on the wood make the game go good,1
Money out of sight cause fights,1
"Put up or shut up, huh?",1
"Nitt Da Gritt, RGF Productions",1
Squad,1
