line,annotated
[Intro : Nekfeu],0
Hey,0
[Refrain : Nekfeu &,0
Damso,0
],0
"Bientôt, j'arrête tout ça, mama, bientôt, je change de vie (ouais)",1
"J'ai du mal à le dire à baba, entre bonhommes, on se devine (quoi)",1
"Bientôt, j'arrête tout ça, mama, t'en fais pas pour mon avenir (ouais)",1
"Bientôt, je change de vie (eh), demain, je change de ville",1
"Bientôt, j'arrête tout ça, mama, bientôt, je change de vie (ouais)",1
"J'ai du mal à le dire à baba, entre bonhommes, on se devine (quoi)",1
"Bientôt, j'arrête tout ça, mama, t'en fais pas pour mon avenir (ouais)",1
"Bientôt, je change de vie (sale), demain, je change de ville (ouais)",1
[Pont 1 : Nekfeu &,0
Damso,0
],0
"Bientôt, j'arrête tout ça, mama, bientôt je change de vie",1
"J'ai du mal à le dire à baba (baba, baba)",1
"Bientôt, j'arrête tout ça, mama (bientôt, bientôt)",1
"Demain, je change de ville",1
"Ouais, yeah",1
[Couplet 1 : Damso],0
"T'as un compte certifié mais t'as pas de follower, tricheur (Dems)",1
"Les maisons de disques sont des salopes, c'pour ça qu'elles font des avances",1
J'f'rai pas deux fois la même erreur,1
"Donne-moi ton cœur que j'écrase mon mégot, c'est à toi que je parle donc fais pas ton De Niro",1
"J'ai pris des grammes et j'ai perdu des kilos, t'assumes pas ta calvitie comme Ne-Yo",1
"Ça fait trop d'weed pour une seule beuh, ça fait trop d'bitches pour une seule queue",1
"Ça fait trop d'morts pour une seule vie, ça fait trop d'torts pour une seule fille",1
"J'suis dans l'bendo, renfermé sur moi, j'te salue pas, j'suis pas courtois",1
"Loin des malfrats et des bourgeois, entre vie et mort sur l'accoudoir",1
"J'entends ""sale nègre"", ah ouais ? J'me tourne sec, Glock : boum, boum, bang, bang",1
"Tous les jours à être dans main event, grand, noir et dur comme un bois d'ébène",0
"Trop de chagrin à l'intérieur, j'ai connu la guerre et la frayeur",1
"Rupture de l'hymen, elle m'fait de la peine, j'l'ai même pas baisée que j'l'ai déjà, Ken",1
[Refrain : Nekfeu &,0
Damso,0
],0
"Bientôt, j'arrête tout ça, mama, bientôt, je change de vie (Dems)",1
"J'ai du mal à le dire à baba, entre bonhommes, on se devine (quoi)",1
"Bientôt, j'arrête tout ça, mama, t'en fais pas pour mon avenir (ouais)",1
"Bientôt, je change de vie (eh), demain, je change de ville",1
"Bientôt, j'arrête tout ça, mama, bientôt, je change de vie (ouais)",1
"J'ai du mal à le dire à baba, entre bonhommes, on se devine (quoi)",1
"Bientôt, j'arrête tout ça, mama, t'en fais pas pour mon avenir (ouais)",1
"Bientôt, je change de vie (sale), demain, je change de ville (ouais)",1
[Couplet 2 : Nekfeu & Damso],1
"Mes copines me taquinent ""voilà l'acteur"", ma richesse intérieure dans mon laptop",1
"Mama s'inquiète pour mes frères, elle nous a vu grandir ensemble, et certains finir locked up",1
"Que des cobayes sur une piste étroite, j'ai grandi pareil",0
"La première fois qu'ils te lisent tes droits, c'est quand ils t'arrêtent (c'est quand ils t'arrêtent, ouais)",1
"Notre succès, c'est pour tous les fils de putes de vigiles qui nous ont mal regardés",0
"Et quand j'étais petit, j'avoue, j'étais parfois jaloux des enfants que maman gardait",1
"Ceux qui sont v'nus soulever les meubles, c'était pas les déménageurs",1
Séparation des ménages avant que l'enfant devienne un jeune,1
"Mouss a passé quatre ans au placard, pour lui, c'était ça d'être majeur",1
"Et tes rappeurs, ils parlent de quoi ? C'est des beaufs, c'est des maîtres-nageurs",1
"Bruxelles, Paname, la pépinière, tu crois qu'on est là depuis hier ?",1
"Tu parles à fond, tu bibi r, toujours au front comme baby hair",1
"Mama, j'étais sous gasolina, mama, j'étais sous gasolina",1
"Mais je veux être un gars solide, je veux pas voir mes gars sous lean, non, non, non",1
"Ça m'inquiète, on sait pas qui t'es, on enquête",1
"Compte certifié mais personne te connaît, t'as pas le droit de tweeter en anglais, (tricheur)",1
"Le succès, c'est un moyen d'avoir des plaves et mes gavas, ils pourraient te vendre une loc' (",0
"vroum, vroum",0
),0
"Sur les traîtres, une main dans les fesses, les keufs les font parler comme des ventriloques",1
"J's'rai plus l'ami d'un lascar faible, la sœur de mon frère, c'est ma sœur",1
"Chez nous, y a pas de sale manie comme dans Scarface",1
[Pont 2 : Damso],0
"J'suis dans l'break neck, j'suis trop high, mec, il m'faut une shneck sèche, de tieks bien fraîche",1
"Que j'baise express, un gros cul d'braise, j'évacue stress et lot d'tristesse",1
"Il m'faut un wellness que j'décompresse, j'suis dans trop d'fesses, faut qu'j'me confesse",1
"J'suis dans l'business, besoin d'vitesse, j'suis dans l'ivresse, maman, God bless me",1
[Refrain : Nekfeu &,0
Damso,0
],0
"Bientôt, j'arrête tout ça, mama, bientôt, je change de vie (vie)",1
"J'ai du mal à le dire à baba, entre bonhommes, on se devine (quoi)",1
"Bientôt, j'arrête tout ça, mama, t'en fais pas pour mon avenir (ouais)",1
"Bientôt, je change de vie (eh), demain, je change de ville",1
"Bientôt, j'arrête tout ça, mama, bientôt, je change de vie (ouais)",1
"J'ai du mal à le dire à baba, entre bonhommes, on se devine (quoi)",1
"Bientôt, j'arrête tout ça, mama, t'en fais pas pour mon avenir (ouais)",1
"Bientôt, je change de vie (sale), demain, je change de ville (ouais)",1
[Outro],0
Go annai itashimasu,1
ANA 1245B,1
Tokyo Narita Eki no Okyaku-sama wa,1
