line,annotated
[Couplet 1],0
Besoin d'une page blanche,1
Faire des hits se fait machinalement,1
À la base on était cinq dans le crew,1
On a suivi à quinze sur la scène,1
On a fini à vingt dans une machine allemande,1
"Elvis est près du gouffre, celui qui dans la salle se trouve",1
"Partir avant, c'est mon conseil",1
"Ca va être un bordel, tu vas perdre une oreille, amicalement",1
"Les rris-pou sucent le travail quand j'amasse les ""like""",0
"Pas de blague, j'en connais qui auront plus de souffle",0
"Après avoir pompé ma queue,",0
et si le Michael était en vie,1
Il aurait sûrement voulu faire une collab avec ma gueule,1
"Elvis aime tout le monde, genre : les chinois, les arabes",1
"Les straussos, les renois, les babtous, les armoires",1
"Les chatons, les Fraggles",1
Même,0
[Refrain],0
"Avant d'arriver à ma place, tu vas glisser",0
Tu veux la même ?,0
"Avant d'arriver à ma place, tu vas glisser",0
"Tu vas glisser, tu vas glisser",0
Tu veux la même ?,0
"Avant d'arriver à ma place, tu vas glisser",0
[Couplet 2],0
Afou !,1
"Tu veux jouer le thug ? Arrête de dire ""la keush""",0
"À BX, on dit ""kush"", on met tout dans le blunt",0
"Et puis, c'est censé nous coucher",0
"Damn, je t'apprends même des merdes dans les couplets",0
Poulet mariné dans le ride,0
On ne crache que des flammes comme si c'était la dernière fois qu'on pouvait,0
"Va falloir mettre des masques,",0
Phasm shit est dans le casque,1
Ça va finir par foumer,1
Même,0
[Refrain],0
"Avant d'arriver à ma place, tu vas glisser",0
Tu veux la même ?,0
"Avant d'arriver à ma place, tu vas glisser",0
"Tu vas glisser, tu vas glisser",0
Tu veux la même ?,0
"Avant d'arriver à ma place, tu vas glisser",0
[Couplet 3],0
Déjà petit j'avais une tête de plus,1
Ça s'est confirmé dans mes textes et mes bedos,1
J'ai déjà dominé leurs mères et leurs frérots,0
À quoi ça sert que je les traite de pute ?,0
"Même quand le bedo casse trop, je reste fidèle",1
"Tant pis je le passe pas, c'est ça l'idée",1
"Faire jouer l'instru pour la dixième fois, je vais la fracasse",0
"Tu veux la même ? Avant d'arriver à ma place, tu vas glisser",0
Oui c'est moi qui fais le taff,0
Tous me connaissent dans ton lycée,1
"Tous me connaissent depuis Morale, Bruxelles Arrive",1
Famille Nombreuse,1
", tu veux la même ?",0
"Avant d'arriver à ma place, tu vas glisser",0
[Pont],0
"Elvis Romeo, L'Or Du Commun, 201630",1
Morale 2 bientôt dans ton assiette,1
"Caca propre, prout prout ,",0
Phasm shit boy,1
Il veut la même !,0
[Refrain],0
"Avant d'arriver à ma place, tu vas glisser",0
Tu veux la même ?,0
"Avant d'arriver à ma place, tu vas glisser",0
"Tu vas glisser, tu vas glisser",0
Tu veux la même ?,0
"Avant d'arriver à ma place, tu vas glisser",0
[Outro],0
"Ouais, tu vas glisser
Fais gaffe tu vas glisser
Tu veux la même ?
Avant d'arriver à ma place, tu vas glisser
201630, on est 201630
Ah, fait du bien un petit morceau un peu sympa comme ça, hein
J'adore le rap, le hip-hop et tout ça
Aller, cia-ciao",0
