line,annotated
"Niggas see me riding, boy that's M6",1
"Boy I got a 30, Boy I'm with the shits",1
And if I miss bitch boy thats your luck,1
I got a fucking chopper niggas better duck,1
Niggas going crazy make these niggas hate me,0
And if you want to see me then fucking pay me,1
I be freestyling going crazy wilding,1
I just got in the booth high as hell,1
And if I kill your man's man you better not tell,1
Cause if I heard you snitched you catching shells as well,1
Two Glocks in my hand I'mma fucking nail,1
I got a Australian your bitch she staring,0
She sending bands cause I be the fucking man,1
And if you need a verse call Peeda Pan,1
Rio got them racks doing the money dance,1
I be in the cut fucking shit up,1
And if you tweak with me you get hit up,1
Smoke your bitch ass like a swisher,1
Bitch I'm glo gang I'm that nigga,1
I be in the club with my niggas,0
These niggas ain't got cash I got big guns,1
I be in the club popping straight bottles,1
I be getting top from a hot model,0
And if you play games you get hot hollows,1
Catch you at a stop sign won't stop firing,1
You say you with the shits nigga stop lying,0
"You know I'm with the shits nigga chops, nines",1
And we blow these guns I am not lying,1
If you sneak diss then shots flying,1
Put you on the floor bitch you know I blow,0
I be selling blow you still move the coke,0
Used to be at the fucking corner store,1
Now I'm making twenty bands off a show,1
I be with the shits boy I'm still trapping,1
I be toting jocks boy it ain't no lacking,1
And if you want war then its fucking cracking,1
I'll make you disappear like some fucking magic,0
Boy I'mma fucking savage,0
Pull up out the sunroof and let your bitch ass have it,1
