line,annotated
[Intro du clip],0
"""Recommence
On peut pas
Faites passer la dame
Allez-y madame, allez-y
Ok tout le monde est prêt ?""",0
[Couplet 1 - Vieux personnage],0
"""Ah, ces jeunes, il faut les voir, les voir et les entendre",1
Vu qu’ils braillent tous les soirs et puis qu’ils graillent de la merde,1
Faut les voir faire la queue d’vant les grecs et puis les squares,1
"Pour d’la drogue et de la dope, ils fument du teush mais c’est quoi ?",1
"À mon époque, y’avait des blocks car il y avait d’jà des blocks",1
"Mais ces blocks, ils étaient propres, y’avait des fleurs, y’avait des portes",1
"Maintenant, c’est glauque, y’a que des halls, des halls avec des jeunes",1
Qui n’font rien mais qui dégradent et puis qui boivent et puis qui chlinguent,1
"Ils parlent de quoi sinon de rien, de flingues, de vie de chien ?",1
"Avec la misère du monde sur les épaules, se lever tôt",1
"C’est bien trop dur ? Alors bon, qu’ils fassent le mur une fois pour toutes",1
"Et qu’ils dégagent, qu’ils aillent loin, oui, très loin",1
",",0
j’habite au-d'ssus,1
"À mon époque, y’avait des profs, des gosses qui aimaient l’taf",1
Des forces de l’ordre au top et puis des punks dans l’underground,1
"On était funs mais pas grossiers, on était jeunes et inconscients",1
"Mais eux, ils gueulent adossés sur les murs du bâtiment",1
"C’est des chômeurs, des drogués, j’te promets qu'ça n’vaut rien",1
"C’est des voleurs, des paumés, j’les connais, ces vauriens",1
"Y’en a qui graffent, y’en a qui taguent, qui saccagent l’escalier",1
"Qui pissent dans l’ascenseur, nan mais bon sang, faut être damné",1
"Moi, pour ces jeunes, j’ai pas d’censure, nan, ils ont rien dans l’cul",1
Sont bons qu’à s’plaindre du décor alors qu’c’est eux qui n’ont pas su en prendre soin,1
;,0
"moi, dans mon coin, je regarde la téloche",1
J’les insulte de bon cœur et je déteste leur air moqueur,1
Et je déteste par dessus tout mes réveils au quartier,1
"Ah, si seulement j’étais riche, assis seul sur ma péniche",1
"Oui, je déteste mon quartier, tout est moche, tout est gris",1
"Y’a tout qui hoche, c’est terrible, ah, si seulement j’étais riche",1
"""",0
[Refrain],0
Ah si seulement j'étais riche (,0
Ah si seulement j'étais riche,0
),0
Assis seul sur ma péniche,0
Ah si seulement j'étais riche (,0
Ah si seulement j'étais riche,0
),0
Ah si seulement j'étais riche,0
Ah si seulement j'étais riche (,0
Ah si seulement j'étais riche,0
),0
Assis seul sur ma péniche,0
Assis seul (,0
Ah si seulement j'étais riche,0
),0
Assis seul sur ma péniche avec du V dans la playlist,0
[Couplet 2 - Jeune personnage],1
"Moi, quand j’suis né, y’avait des tours, des tours et puis des tours",1
"J’avais des potes qui jouaient les fous, séchaient les cours et séjournaient",1
"En bas des tours, j’comprenais pas, j’disais comme ça : ""Mais, gros, t'es fou ?",1
"On voit des tours toute la journée, toi, tu t’barres pour y r'tourner",1
"Fais des détours, au moins, j’sais pas, fais l’tour, va voir autre chose""",1
"""V, t’es sourd ou quoi ? J’t’ai dit : en bas des tours, j’y fais des sous",1
"Entre les cours et puis les tours, j’aime mieux les sous pour faire les courses""",1
"Oui, y’a des cours et puis des courses",0
et puis des sous en bas des tours,1
"Et les yeux rouges, tout est beau, c’est beau, même ici-bas",1
"C’est beau lorsque t’es soul, sinon, c’est fou c’que c’est sale",1
"Hé oui, c’est flou, essuyez tout, c’est grave",1
Excusez-nous mesdames mais c'n’est sûrement pas nous ces dégâts,1
"Ces vieilles peaux, je les connais : des pétasses fuyant l’trépas",1
"De bien haut, elles nous regardent et nous épargnent jamais trop",1
"Un jour né puis c’est mort, tous les autres d'vant les journaux",1
C’est légendaire d’être aussi…,1
"(salope, salope, salope)",1
"Ah, si seulement j’étais riche, assis sur ma péniche",1
J’aimerais quitter Beriz,1
et vivre le rêve d’être paysan,1
"Dans les rangs, je sens l’danger, je ne pense qu’à manger",1
"Me venger ? Oui, mais de quoi ? J’aime à penser qu’j’ai pas d’plan B",1
Ce n’est pas moi mais c’qui m’entoure,1
", j’m’en fous, je lève la voix",0
Mais tu n'sais pas c’qu’on encoure en bas des tours,1
"Avec des fous qu’en font des fours, des folles qu’en font des tonnes",1
"Des toits qui foisonnent tout si bien qu’parfois, j’en perds la boule",0
"Alors, le soir, avec du shit",1
",",0
j’me dis qu’si j’étais riche,1
Je serais sur ma péniche,1
avec du V dans la playlist,1
"Alors, le soir, avec du shit",1
",",0
j’me dis qu’si j’étais riche,1
Je serais sur ma péniche,1
avec du V dans la playlist,1
"Mais pour ça, il m'faut du shit",1
[Refrain],0
Ah si seulement j'étais riche (,0
Ah si seulement j'étais riche,0
),0
Assis seul sur ma péniche,1
Ah si seulement j'étais riche (,0
Ah si seulement j'étais riche,0
),0
Ah si seulement j'étais riche,0
Ah si seulement j'étais riche (,0
Ah si seulement j'étais riche,0
),0
Assis seul sur ma péniche,0
Assis seul (,0
Ah si seulemen,0
t j'étais riche,0
),0
Assis seul sur ma péniche avec du V dans la playlist,0
