line,annotated
[Intro : Hornet La Frappe &,0
Vald,0
],0
-,0
"Eh gros imagine, tu trouves une valise",0
- Une valise remplie d'kilos et tout ?,0
-,0
Exactement,0
"-  Attends, t'sais j'fais quoi ?",0
[Couplet 1 : Hornet La Frappe],0
"Allô, déjà je prends mon phone, j'appelle mon pote comme un homme",0
"J'lui dis : ""Poto, faut qu'tu viennes, la vie est folle""",0
"Avec cent kil', j'fais la tonne,",1
ma meuf est belle mais elle est conne,0
"La vie d'ma mère, j'baiserais la meuf la plus bonne",1
"Plus d'sentiments, j'paie mes bails",0
J'viens en bas d'ton tier-quar et j'te ravitaille,0
"Pablo du 9-3, goûte ma came, fais pas style tu tapes un rail",0
"Tu pètes un grec, tu d'mandes le price",1
"Toi, t'as pas d'pions, t'as que d'la caille",0
Mais ma seule drogue reste le bédo,0
Mama veut pas d'mon argent sale,1
"Grâce à la valise, j'fais des cadeaux",0
"J'suis avec Vald, ça tourne sur Paname",0
[Pré-refrain : Hornet La Frappe],0
"Un jour ou l'autre, ils vont se dire",0
Que le pire reste à venir,0
J'préfère prévenir que guérir,0
Mes frères ont pris du ferme pour d'l'herbe,0
"Un jour ou l'autre, ils vont se dire :",0
"""",0
"Taffer pour mille deux, c'est l'pire",1
"""",0
"J'veux compter violets, jaunes, verts",1
"Une valise, je quitte vos terres",1
[Refrain : Hornet La Frappe &,0
Vald,0
],0
"Happy birthday, happy birthday",1
"Oh, ma malle à kilos",0
(and a Merry Christmas),1
"Oh, ma malle à kilos",0
(and a happy new year),1
"Oh, ma malle à kilos",0
(oh happy hanoucca),1
"Oh, ma malle à kilos",0
[Couplet 2 : Vald],0
Ah mais j't'ai pas raconté c'truc :,0
"L'autre fois, j'étais dans la street,",0
ça sentait l'shit de l'enfer,1
(yes),0
"À tous les coups au corner, j'vais croiser des putains d'hippies qui zonent",1
Qui vont m'dégainer :,0
"""V.A., wesh t'as pas dis bonjour""",1
"""Ta mère la Wisigoth""",1
"Au lieu d'ça j'tombe sur une camionnette porte arrière entrouverte, ça sent la peu-fra, le spliff qui cogne",1
"Rapide coup d'œil du côté passager, personne non plus qui tient le volant",0
"J'suis comme affolé, j'retourne à l'arrière, je tire la porte, le coffre",1
"Est comme rempli à ras bord, comme Piper Perri en fin de gangbang, j'call du renfort :",1
"""Allô ma gueule, comment on fait des fils"" (allô ?)",1
"Surpris, il m'dit : ""Comment ça, comment on fait des fils""",1
"J'lui dis : ""Frérot, là, c'est Dieu qui m'envoie un signe""",0
J'viens d'tomber sur une camionnette avec dedans cent kil',0
(cent kil'),0
"Ou peut-être deux cent, qu'est c'que j'en sais ? T'façons, ça tient pas sur ma pesette",1
"Entre trente sec', il s'téléporte, c'est lui qui fait démarrer la tire",0
"Sur le périph', on croise le shérif, ses narines frémissent",1
"Mais lorsqu'il nous regarde, il voit deux polaks qui reviennent du chantier",1
C'pour ça qu'il arrête le rebeu dans la Twingo derrière (raciste),1
"Hors de portée, j'expose mon plan, j'prends la moitié, ça s'ra ma cons' à vie",0
"L'autre moitié, tu la vends et on partage le bénéf'",0
"Il m'dit : ""Si y'a qu'moi qui vend, on partagera pas, j'ai dit c'moi qu'ai trouvé, c'est moi qu'ai trouvé""",0
[Pré-refrain : Hornet La Frappe],0
"Un jour ou l'autre, ils vont se dire",0
Que le pire reste à venir,0
J'préfère prévenir que guérir,0
Mes frères ont pris du ferme pour d'l'herbe,0
"Un jour ou l'autre, ils vont se dire :",0
"""",0
"Taffer pour mille deux, c'est l'pire",1
"""",0
"J'veux compter violets, jaunes, verts",1
"Une valise, je quitte vos terres",0
[Refrain : Hornet La Frappe &,0
Vald,0
],0
"Happy birthday, happy birthday",1
"Oh, ma malle à kilos",0
(and a Merry Christmas),1
"Oh, ma malle à kilos",0
(and a happy new year),1
"Oh, ma malle à kilos",0
(oh happy hanoucca),1
"Oh, ma malle à kilos",0
[Pont : Vald],0
"Au SMIC, ma vie défile, un lo-ki et c'est fini",0
T'es comique ou cinéphile ?,0
"J'suis dans l'cockpit, t'es dans l'building",1
"Au SMIC, ma vie défile, un lo-ki et c'est fini",0
T'es comique ou cinéphile ?,0
"J'suis dans l'cockpit, t'es dans l'building",1
[Refrain : Hornet La Frappe &,0
Vald,0
],0
"Happy birthday, happy birthday",1
"Oh, ma malle à kilos",0
(and a Merry Christmas),1
"Oh, ma malle à kilos",0
(and a happy new year),1
"Oh, ma malle à kilos",0
(oh happy hanoucca),1
"Oh, ma malle à kilos",0
[Outro : Hornet La Frappe],0
"Vald, La Ppe-fra",0
50k,1
",",0
GAM€ OV€R,1
