line,annotated
[Intro],0
"It's the same speech every time
No new niggas, loyalty
Yeah we might be famous but we still violent motherfucka",0
[Verse 1],0
I just took a BR and now I'm floating,0
If it ain't that OG then I ain't smoking',1
"I woke up, I put a couple plays in motion",0
First I roll me up and joint and count my money man,0
Momma keep telling me that I smoke too much,0
"My girl tell me, """,0
Nigga blow that shit out the window,0
"""",0
I was rolling down the street smoking endo,0
Sipping on that Gin and juice like it's '92,0
"Go against my crew, I don't recommend",0
"Bitch, who the fuck are you? We don't let you in",0
Girls pause when the Taylor's in the function,0
Everybody from the game got jumped in,0
"Yeah, niggas meet me at the park",0
Niggas gone run their flags,0
"If a nigga get dropped, then you better get up",0
"Niggas gone hit the joint, niggas gone sip the drank",0
"Catch a enemy slipping, nigga gone pop the dime",0
[Hook],0
"Violent, all my niggas violent",0
Pop a nigga broad daylight with the silence,0
Smoking weed on a PJ with the pilot,0
"I just got some bomb ass head from my side bitch, whoa",0
"Violent, all my niggas violent",0
Pop a nigga broad daylight with the silence,0
Smoking weed on a PJ with the pilot,0
"I just got some bomb ass head from my side bitch, whoa",0
[Verse 2],0
"Pop outs on me, hop outs on me",0
Nigga we don't do no drive-bys,0
"If he owe me money, he ain't got my money",0
Tell his momma kiss him bye-bye,0
All my fans call me Dolla $ign,0
But my momma still call me Ty-Ty,0
First class on the flight to Hawaii,0
They got us all sipping the Mai Tai's,0
20's and 50's we roll together,0
I don't be kissing my bitches in public,0
"At my level, bitch, we don't go together",0
I just fucked a bitch at one of the W suites,0
And she said I'm the coldest ever,0
"I just popped a couple Mollys, Xans",0
"Now they copy my swag, it's dope forever",0
I might be single forever,0
I'ma be me forever,0
I'ma be rich forever,0
M-O-B forever,0
Fucked her the first time I met her,0
Sucked on this dick cause I let her,0
I got a brand new Glock,0
And a Baretta,0
[Hook],0
"Violent, all my niggas violent",0
Pop a nigga broad daylight with the silence,0
Smoking weed on a PJ with the pilot,0
"I just got some bomb ass head from my side bitch, whoa",0
"Violent, all my niggas violent",0
Pop a nigga broad daylight with the silence,0
Smoking weed on a PJ with the pilot,0
I just got some bomb ass head from my side bitch,0
[Bridge],0
The purp is for extra nigga,0
The purp is for extra nigga,0
That purp is for me and my nigga,0
I broke bread with me and my nigga,0
I told my young nigga YG 400 get rid of them extra niggas,0
"Aye, you ain't getting money, lil' nigga, youse an extra nigga",0
$ign,0
[Outro],0
"Ty you better let these niggas know fool
It's an unstoppable force right here
The movement, ",0
4800,0
Ayaaaaa,0
