line,annotated
[Verse 1: DMX],0
"Ayo, dawg, I meet bitches, discrete bitches",0
"Street bitches, slash, Cocoa Puff sweet bitches",0
"Make you wanna eat bitches, but not me",0
"Y'all niggas eat off the plate all you want, but not D",0
I fucks with these hoes from a distance,0
The instant they start to catch feelings,0
I start to stealin' they shit,0
Then I'm out just like a thief in the night,0
I sink my teeth in to bite,0
"You thinkin' life, I'm thinkin more like, ""Whassup tonight?""",1
"Come on, Ma, you know I got a wife",1
And even though that pussy tight,1
I'm not gon' jeopardize my life,1
So what is it you want from a nigga?,0
"I gave you, you gave me",0
"Bitch, I blazed you, you blazed me",0
"Nothin' more, nothin' less",0
But you at my door willing to confess,0
That it's the best you ever tested,0
"Better than all the rest, I'm like, ""Aight, girlfriend, hold up",0
"I gave you what you gave me, boo, a nut!""",0
[Hook: Sisqo + DMX],0
What these bitches want from a nigga?,1
What you want? (What you want?),1
What these bitches want from a nigga?,1
Really want…,1
What these bitches want from a nigga?,1
I've been keepin' you up on it,1
"Bling bling'n, all that jewelry, girl, I bought it",1
What these bitches want from a nigga?,1
"Ayo, tell me what you want from me",1
"Baby, tell me what you want from me",1
(So what you want?),1
[Verse 2: DMX],0
"There was Brenda, LaTisha, Linda, Felicia",1
"Dawn, LeShaun, Ines, and Alicia",1
"Teresa, Monica, Sharron, Nicki",1
"Lisa, Veronica, Karen, Vicky",1
"Cookie, well, I met her in a ice cream parlor",1
"Tonya, Diane, Lori, and Carla",1
"Marina, Selena, Katrina, Sabrina",1
"About three Kims, LaToya, and Tina",1
"Shelley, Bridget, Cathy, Rasheeda",1
"Kelly, Nicole, Angel, Juanita",1
"Stacy, Tracie, Rohna, and Ronda",1
"Donna, Ulanda, Tawana, and Wanda",1
"Were all treated fairly, but yet and still",1
Bitches is on some other shit,1
Now that I'm fuckin' with Dru Hill,1
But I'ma keep it real,0
What the fuck you want from a nigga?,0
What the fuck you want from a nigga?,0
[Hook: Sisqo + DMX],0
What these bitches want from a nigga?,1
What you want? (What you want?),1
What these bitches want from a nigga?,1
Really want…,1
What these bitches want from a nigga?,1
I've been keepin' you up on it,1
"Bling bling'n, all that jewelry, girl, I bought it",1
What these bitches want from a nigga?,1
"Ayo, tell me what you want from me",1
"Baby, tell me what you want from me",1
(So what you want?),1
[Verse 3: DMX],0
"Ayo, I think about when a nigga didn't have",0
"And a nigga told a joke, and the bitches didn't laugh",0
"See, now I do the math, I see if you got this",1
"And this and this to some cats, that nigga's the shit",1
And that's all they fuckin' with,1
But see these bitches don't know,0
"If these bitches ain't for real, these bitches don't go",0
"Knock on door, no show, I'm asleep, tryin' to creep",0
"With yo' best friend, put it in, dig deep",0
[Bridge: Sisqo],0
"X, let me talk to 'em for a minute",0
"Oh, I know, I know it's so hard to be",0
A victim of my reality,0
"Heard you callin' me names, said I was trife",1
"One thing you gotta know, I'ma be a nigga for life",1
[Hook: Sisqo + DMX],0
What these bitches want from a nigga?,1
What you want? (What you want?),1
What these bitches want from a nigga?,1
Really want…,1
What these bitches want from a nigga?,1
I've been keepin' you up on it,1
"Bling bling'n, all that jewelry, girl, I bought it",1
What these bitches want from a nigga?,1
"Ayo, tell me what you want from me",1
"Baby, tell me what you want from me",1
(So what you want?),1
