line,annotated
[Hook: Nate Dogg],1
This is where I wanna be,1
Right here with my loved ones,1
Smokin on some weed,1
You've got chronic won't you light it up?,1
[Verse 1: Shade Sheist],0
Now who's that kickin in the gate for the West?,0
Shade pop with flows that seep holes in your vest,1
Half nigga with the words,0
Half run up in your spot to talk shit,0
"Where I'm from, we prone to lick shots",0
Now Dogg Pound Gangstas put me up on game (put me up on game),1
Now that I'm here a lot of shit gon' change,0
"Mister quick to buy a chain, mister let the chain hang",0
"Showin off to broads, I'm mister quick to get to bang",0
Now you might catch Sheist gettin bent in every coast,0
Still the nigga with the heat gettin rid of every coat,0
"Still fuckin with Mizz, we run triz when we bored",0
"And you know I got the X, twenty's what they hittin for",1
"See me if you wanna score, cause I got what you need",0
"Or you can see me in the club, tinted SUV",0
"Gettin in for free, I'm bout to make my name known",0
Sheist pull a heist in this bitch just to get it on (what.),1
[Verse 2: Nate Dogg],0
Check this out,0
"You see, how I figure this thing",0
"We can, all take over this game",0
"If we, come together do this shit right",1
"We can, all have a piece of the pie",1
"You know, how I figured this out",1
"I just, took a little trip down South",1
"Soon as, I set foot off the plane",0
"It was, just like a family thing",0
"You know, the gangsta's hard to decieve",0
"So I, took a little trip to the East",0
"I'm not, slow so I can't wait for the game",0
"I'm not, broke so I'm in bulletproof everything",0
"When I, touch down it ain't like a think",1
"They ain't, trippin off nothin but bank",1
"So I, quickly dispose of my shank",0
"If we, if we ain't got us nigga where could we hang?",1
[Hook: Nate Dogg],0
[Verse 3: Kurupt],0
"Yeah, show me somethin I ain't never seen",1
I step in the house party with a gangsta lean,1
Dogg Pound Gangstas we strikin back again,1
(back again),0
Ready to ride in the 'lac again {*tires squeal*},0
Givin it up for T-Boz and Mack 10 for doin it,1
This ain't nothin but a gangsta reunion,0
"New York and California, the places to be",0
Nate Dogg and Kurupt broadcast for free,0
We at the DoggHouse where the dogs at,0
You wanna get with me?,0
Baby meet me in the back,0
"Young Damion Young, this is number two",1
Ridin out homie doin what we wanna do,0
[Hook till fade],0
