line,annotated
(JD talking),0
"C'mon, c'mon, yeah, c'mon, yeah",0
(Nelly),0
Uh ooooooooooooh,0
(uh oh oh oh),0
Uh ooooooooooooh,0
(uh oh oh oh),0
Uh ooooooooooooh,0
(uh oh oh oh),0
Uh ooooooooooooh,0
(Jagged Edge),0
If the party's where you're at then let me know,0
Don't be trippin when you see us in the club,0
"Just show a little love, represent your side like me",0
Cause 'round here if you slick you pick a hot one,0
"Ride shotgun, couple of 'em got one",0
Belvedere in the rear of the club,0
Pulled up on dubs and we 'bout to go and buy the bar up,0
"So So, for sure we ain't playin",1
"Hang with no lames, hit the park and sayin...",0
(Hook - Jagged Edge),0
"Ay, where the party at?",0
"Girls is on the way, where the Bacardi at?",0
"Bottles and models, talkin all a that",0
Know I can't forget about my thugs,0
(Where the party at?),0
And all my girls,0
(Where the party at?),0
Off in the club,0
(Where the party at?),0
If the party's where you're at let me hear you say,0
Uh ooooooooooooh,0
(uh oh oh oh),0
Uh ooooooooooooh,0
(uh oh oh oh),0
Uh ooooooooooooh,0
(uh oh oh oh),0
Uh ooooooooooooh,0
If the party's where you're at just let me know,0
All the girls in the club in they best outfits,0
"Just showin that skin, tryna' make a nigga wanna spit",0
Where you been girl? You and your friend,0
Need to come to the back where we got it locked down,0
In your white t-shirt or a three-piece suit,0
Don't matter what you wear all that matters is who you with,0
Some jiggy and some are straight grindin,0
All up in the club just to have a good time and,0
(Hook),0
(Nelly),0
Just show me where that party at dirty,0
Somewhere where it's crackin right around one-thirty,0
Never get done too early,0
"Come in as is, doo-rags and Tims",0
"I'm rollin past his, his little Jag and Benz",0
"With the rolls, not the one with the stem, the one with the rims",0
The one that seem to make more enemies than friends,0
"I'm slidin in past doors, both eyes closed",0
"Both arms rose, both charms froze",0
"With the S-O-S-O, D-E dot F",0
"I'm buyin bottles, bottles, until it ain't none left",0
"I'm quick to go left, I blaze with no rep",0
I jams more than Def,1
", baby show me the club",0
"I'm like ""hey, where that Bacardi at?""",0
"Come and mix it with the Cris', baby, what's wrong with that?",0
"We in the V.I.P. twisted, down right spliffed it",0
"Two way and shit, actin like they missed it (missed it)",0
(Hook),0
(Jagged Edge),0
"Left side, just put your hands up, throw 'em up",0
"Right side, just put your hands up, throw 'em up",0
"Everybody, put your hands up, throw 'em up",0
When the beat come back around e'rybody do it again,0
Do the eastside run this mutha for ya? (Hell yeah),0
Do my southside run this mutha for ya? (Hell yeah),0
"And them haters ain't hittin on, ain't talkin 'bout us",0
And they look like,0
If the party's where you're at let me hear you say,0
