line,annotated
[Intro],0
Hahahaha!,0
Oh you gon' highlight shit? (Hahaha),0
Gon' get jealous like shit? (Hahahaha),0
I hope you record it like shit? (Hahaheheheha),0
'Cause I am GRVTY like shit? (Hehe fuck),0
"And I am, [?] tight",0
"Wait, wait, are you recording?",0
And to immediately get into our show,1
I want to bring out the host of tonight's show,1
You all know him,1
"A very wonderful, wonderful personality of show business",1
[Verse 1: Logic],0
Now ain't it funny how the whole thing changed,0
"They said I'd never make it, now their words rearranged",0
I went from nothing to something,0
But I was something all along,0
Who you know on the come-up doing numbers in Hong Kong,0
"Got fans in LA, got fans in NY",0
Got fans down in Atlanta and all the way to the Chi',0
We world wide (World wide),0
World wide motherfucker,0
They think we pay for promotion but our strength is in numbers,0
"This is so comical, so hilarious",0
All these stupid groupie bitches want to marry us,0
"And just a year ago, I had to pay to perform",0
And now venues across the country dropping stacks to go on,0
I've been working for years and sometimes I get heated,0
But those who don't learn from history are doomed to repeat it,1
I do it for the fans,0
They know what the message is,0
"RattPack is world wide, don't believe it? Check the messages",0
[Interlude: Fans],0
"I love you! Come to Miami please! Um, you're perfect, you're beautiful, ok, bye I love you! Bye! Bye bye, we love you",0
*Beep*,0
"Yo, what up Logic? My name is Adam [?] and I'm currently living in Tokyo. I'm a huge fan of your music and you're doing great stuff for the rap game",1
*Beep*,0
"Hi Logic! This is Melissa, I'm calling from Paris. I really like your music, I love your lyrics. Keep making us happy with your music. Kisses from France. Bye!",0
*Beep*,0
"Sup Logic, it's, uh, Jason here from London calling you. Your music is dope, uh, I love what you do. We're waiting for you over here and we'll take care of you as soon as you come here",0
*Beep*,0
"Yo Logic, what's good man? My name is Brandon, I'm 18 years old, I'm from Switzerland, I'm a huge fan, man, keep up the good work. Keep it comin' bro, you know?",0
*Beep*,0
"Yo, yo, I'm from Brazil, nigga, Logic is the shit. Young Sinatra",0
*Beep*,0
"Hey, this is Tyson from Cobalt, Ontario, Canada, your music's the shit. Keep up the good work",0
*Beep*,0
"Hey Logic, my name's Amanda, I am from Puerto Rico. Oh my god, like, if I ever met you, it would be the happiest day ever. I would love it if you came over to Texas, I would fly all the way over there to come see you. Bye!",0
*Beep*,0
"Hey, my sweetheart, I just wanted to tell how much I love your music. Keep doing what you're doing because we all love you so much. Te queremos mucho, bye",0
*Beep*,0
"Hey Logic, I'm from Canada and I fuckin' love your music",0
*Beep*,0
"Logic, it's Jacob from Alaska, just wanna tell you that you're the shit",0
*Beep*,0
[Verse 2: Logic],0
And now I'm back but I'ma switch the style up,0
"We moving at high speed, these fuckers are dialed up",1
You know I formulate my words like a dissertation,0
So let a brother proceed like litigation,0
"I know you feel this deep inside of you, no penetration",0
We got something for everybody but in moderation,0
You gotta crawl 'fore you walk,0
I ball but you block,0
Share knowledge like it's stocks,0
Since the West Deer Park,1
Back in the days and the 9 millimeter strays that grazed,1
My old apartment,1
To wherever I dreamed that's where my heart went,0
"Now, as a baby my Mama was on the bottle",0
Couldn't wait 'til I was of age to hit the lotto,1
Or the throtto and I'm gone,0
Like fuck the world,0
All I had was music and my girl,0
'Til that shit fell apart and this life unfurled,0
"Nevertheless, I atest and ""Am I blessed?"" Hell yes",0
"Occasional stress, but I only bite what I can digest",0
Back in the day it was jeans and white tee's,0
Now that I got all the sponsors I can keep up with the companies,0
Now I'm not bragging about material possessions,0
I'm trying to teach you a lesson about business and progression,0
And what happens when you perfect the image in your profession,0
"Ain't no second guessing, you know it's all about perception",0
I used to talk about the things I wasn't really doing,0
But I had to visualize it before I began pursuing it,0
"Yeah, huh, and now a motherfucker doing it",0
"But business aside, it's been a beautiful ride",0
'Cause I do it for the fans and brush the haters aside,0
I can't wait for the day I'll look within the eyes of my bride,1
'Cause every lion needs its queen to make its children its pride,1
but,0
These haters really don't know what the message is,0
(Message is),0
Don't know what the message is,0
"Once again, don't believe it? Check the messages",0
[Interlude: Fans],0
*Beep*,0
"Sup Logic, um, I'm from Danbury, Connecticut",0
"Yo what's up, Logic? This is Steven from San Antonio, Texas",0
"Yo, what up? My dude Logic, yeah I'm from same old West Deer Park, man, it's ya boy [?]",0
"Hey Logic, this is Sarah [?], your number one fan from Detroit",0
"Yo Logic, it's [?] off from Gaithersburg High School! You know, you know, you know, you know, bitch you know! Yeah, your music real dope, son. I be cranking that shit with my mom and shit",0
"Dude, what's up? I'm from Maryland. I'm from College Park, University of Maryland. I've seen all of your videos",0
"What's up, Logic? I'm from Santa Cruz, California",0
"Yo man, I'm from San Jose",0
"What's good, Logic? From Pittsburgh, Pennsylvania",0
"Ayy yo, what's up, Logic? It's Mike Mays, I'm from the bay",0
"Yo, what up, Logic? This Daniel [?] from Forstmann, Arkansas",0
"Hey, it's Michala from Portland, Oregon",0
"Albuquerque, New Mexico",0
"Austin, Texas",0
"Cincinnati, Ohio",0
Long Island,0
I'm from Virginia,0
South Dakota,0
"Chicago, [?] area",0
New York,0
"Grandswood, North Carolina, dude!",0
"Anaheim, in California",0
"Colorado, North Eastern Nevada",0
"Maui, Hawaii",0
"[?], California",0
South Carolina,0
New York,0
"Los Angeles, California",0
"The Bronx, New York",0
"Los Angeles, California",0
"Raleigh, North Carolina",0
"[?], Florida",0
Colorado,0
Texas,0
I love you. *laughs* I sound like the-,0
I love you!,0
I love you. *laughs*,0
"Hey, I'm just calling you, and I hope you hear this but I think you're sexy as hell",0
You're such a genius and I totally admire your work,0
