line,annotated
[Verse 1],0
"Said she tired of little money, need a big boy",0
Pull up 20 inch blades like I'm Lil’ Troy,1
"Now it's everybody flockin', need a decoy",1
"Shawty mixing up the vodka with the LaCroix, yeah",1
"G-Wagen, G-Wagen, G-Wagen, G-Wagen",1
"All the housewives pullin’ up (Up, up)",1
"I got a lot of toys, 720S bumpin' Fall Out Boy",1
You was talkin' shit in the beginning (Mm-mm),0
Back when I was feelin' more forgivin' (More forgivin'),0
I know it piss you off to see me winnin' (See me winnin'),0
"See the igloo in my mouth when I be grinnin’ (I be grinnin’), yeah",1
[Chorus],0
"Hunnid bands in my pocket, it's on me",1
Hunnid deep when I roll like the army,1
"Get more bottles, these bottles are lonely",1
"It’s a moment when I show up, got 'em sayin', ""Wow"" (Wow, wow)",1
"Hunnid bands in my pocket, it's on me (On me)",1
"Yeah, your grandmama probably know me (Know me)",1
"Get more bottles, these bottles are lonely",1
"It’s a moment when I show up, got 'em sayin', ""Wow"" (Wow, wow)",1
[Verse 2],0
Everywhere I go (Hey),1
Catch me on the block like I'm Mutombo (Wow),1
750 Lambo in the Utah snow (Skrrt),1
"Trunk in the front like that shit Dumbo, yeah",1
Cut the roof off like a nip-tuck,1
Pull up to the house with some big butts,1
"Turn the kitchen counter to a strip-club (Yeah, wow)",1
Me and Dre came for the...,1
"When I got guap, all of y'all just appeared (Wow)",0
"Before I dropped Stoney, none of y'all really cared (Cared)",1
"Now they always say, ""Congratulations,"" to the kid (Kid)",1
"And this is not a 40, but I'm pourin' out this shit (Yeah)",1
"Used to have a lot, but I got more now (Yup)",0
Made another hit 'cause I got bored now (Yup),1
"Always goin' for it, never punt fourth down",1
"Last call, Hail Mary, Prescott touchdown, ayy",1
[Chorus],0
"Hunnid bands in my pocket, it's on me (On me)",1
Hunnid deep when I roll like the army (Hey),1
"Get more bottles, these bottles are lonely",1
"It's a moment when I show up, got 'em sayin', ""Wow"" (Wow, wow)",1
"Hunnid bands in my pocket, it's on me (Yeah, yeah)",1
"Yeah, your grandmama probably know me (Yeah, yeah)",1
"Get more bottles, these bottles are lonely",1
"It's a moment when I show up, got 'em sayin', ""Wow""",1
[Outro],0
"Got 'em sayin', ""Wow""",1
"Ayy, ayy, wow",1
"Sayin', ""Wow""",1
Wow,1
Wow,1
