line,annotated
[Verse 1: J.I.D],1
Yeah-ah,0
Picture a nigga steppin' into the game that's already lit,1
Just add a little coal to flame it,1
"Lame niggas, I gotta put it in layman's terms?",1
"I'm finna murder you niggas, you better spread the word",0
I bled words 'till my head would hurt,0
"The first to say, it hurts to say, I said it first",0
Live life like a baby that was dead at birth,1
But came alive and fucked the nurses,1
"If you don't like it tell a nigga ""jump"" if you feelin' Kermit",1
If you sleepin' on me we can make it permanent,1
"And leave 'em stinkin, he a really permeate, he really reeking",1
J.I.D or call me Willie Beamen,1
"But I'm 'bout the team, everybody eatin'",1
"If it's down to me, I'ma do some shit niggas ain't never seen",1
"Bitch, I dunk the three",1
"Ashton Kutcher, who's punkin' me?",1
"J.I.D the butcher, who want the beef?",1
"Chop arm, leg, head, package meat",1
"Sacrificial lamb, satisfactory",1
"Smack him with the hand, don't talk back to me",0
"I'ma be the man, I'ma kill a king",0
"I done been a fan, now I need wings",0
"I done see your hand, now I need a -ah",0
"Fee-fi-fo-fum, monster come, King Kong rumble",1
"Young man, rumble in the jungle, trees tumble",1
"Bees bumble, weed crumble, yeah",1
"Sling slung, wood lumber in the hood",0
"Sister, mother, freaky fucker,",0
"Kidney Puncher, Willy Wonka",1
Pussy purify Lake Minnetonka,1
", yeah",0
"C'est la vie, J.I.D",1
Say I-B-E-S-T with the R-A-Ps and R.I.P,0
"Your rhymes sound O-L-D, I'm co-l-d",0
"And I ain't drop no LP, I'm so OD",0
"I know OGs, drop flows, they was so LD",0
"I make a play, nigga, Odell B",1
"Make a way, get his old LC",0
"Until they sob, but let us pray and let us eat",0
[Break: J.I.D &,0
Ski Mask The Slump God,0
],0
Ouch,0
Oh my god,0
"Heh heh, that shit was cold",0
"Oh my god, oh my god, I'm so ready for Ski Mask to rap, guys",0
"Oh my god, ahem",0
[Verse 2: Ski Mask The Slump God],1
"Umm, bad with my aim when I cum",0
"Your bitch want meat, my filet-mignon",0
I hide the kids deep in her throat,1
"Lettin' it go on her body, no bum",0
"Smokin' on Afghan, matter fact, Saddam",0
"No ceilings like Weezy, but she feeling linen",1
'Cause I turn the chicken up into a picket,0
"But fuck all that drama, you can meet my llama",1
"Black diamonds like Kony, matter fact, Obama",1
My jewelry so water water like Osama,1
"Got bitches on bitches lovin' it, McDonalds",1
I keep it 300 like a nigga Sparta,1
"I feel like Darth Vader, nigga, I'm your father, uh",1
"Dodging cop car like a Frogger, uh",1
"Flashy like lights on a router, uh",1
"I just say ""water!"", I'm out here, haha",1
[Outro: J.I.D &,0
Ski Mask the Slump God,0
],0
Water,1
Waterrr!,1
