line,annotated
"[Letra de ""Y En Un Espejo Vi""]",0
[Intro],0
Y hoy la fui a visitar caminando entre lápidas,0
Y me di cuenta que la vida aquí es muy rápida,0
"Aunque ya lo he dicho antes, quiero recordarlo hoy",0
Como cuando tú recuerdas una historia,0
"Que no debe ser contada, pero escuchas una voz",0
"Que te dice cántala, te exige por favor",0
Nárrale a tus semejantes la razón de lo que soy,0
La historia que se repite en muchas vidas,0
Pero que no todos pueden expresar con tu don,0
Y es por eso que tú debes servir de conexión,0
"Para eso están los cantantes, para tocar el corazón",0
La historia de la que hablamos dice así,0
[Verso 1],0
Hay un niño en Venezuela que creció como cualquiera,1
Jugando en calles y aceras sin mucha preocupación,1
Es fácil para los niños que de cualquier forma juegan,0
Sin pensar que el mundo afuera fue creado pa'l león,0
"Riendo se pasa el tiempo, jugando olvidas el hambre",0
Hasta que vas comprendiendo la difícil situación,0
Cuando ves un niño afuera jugando con su Nintendo,0
Viendo como sus dos padres son como en televisión,0
"No pelean, se abrazan, tiempo con el niño pasan",0
"Comunicación enlazan, se dicen frases de amor",0
Hay un chamo en Venezuela que poco a poco comprende,0
Que la vida es diferente y que pudiera ser mejor,0
El niño que ya ha crecido por caprichos del destino,0
"Recorrió mucho camino, vive sólo con rencor",0
"Nada sueña ni dormido, no confía ni en sus amigos",0
Porque sabe que el camino fue creado pa' el león,0
[Coro],0
"Y con una coraza va, va, va",1
"Y todo blanco y negro ve, ve, ve",1
En un espejo un día lo vi y me dijo con su voz,1
¡Bu! ¿Qué tal es verte a mí?,1
,1
"Y con una coraza va, va, va",1
"Y todo blanco y negro ve, ve, ve",1
En un espejo un día lo vi y me dijo con su voz,1
¡Bu! ¿Qué tal es verme a ti?,1
[Verso 2],0
El niño es adolescente y vive solo con su padre,0
"Porque su madre se ha ido, dicen que a un mundo mejor",0
"Su padre trabaja fuerte, pero mientras está ausente",0
"La calle que está caliente, le sirve como tutor",0
"Debe madurar temprano, supo que murió su hermano",0
"Y aunque no le han preguntado, le causó un grave dolor",0
Hay un hombre en Venezuela que poco a poco comprende,0
Que la vida es diferente y que pudiera ser mejor,0
Y ahora es un adulto más que vive entre las ánimas,0
De sus recuerdos ve los días como páginas,0
De un libro sin final que busca terminarlo hoy,0
Como cuando ves el final de una historia sin haber leído nada,0
Pero sientes que hoy debe estar ya terminada,0
Le dice el corazón que la vida es asfixiante,0
Se encierra en su habitación,0
A escribir para sentir que no está aquí,0
[Coro],0
"Y con una coraza va, va, va",1
"Y todo blanco y negro ve, ve, ve",1
En un espejo un día lo vi y me dijo con su voz,1
¡Bu! ¿Qué tal es verte a mí?,1
,1
"Y con una coraza va, va, va",1
"Y todo blanco y negro ve, ve, ve",1
En un espejo un día lo vi y me dijo con su voz,1
¡Bu! ¿Qué tal es verme a ti?,1
[Verso 3],0
Hay un tipo en Venezuela que quiere morir tranquilo,1
Planea meterse un tiro en un banquillo e' callejón,1
Hasta que un ciego le dijo que la vida es un suspiro,1
"Basta verla diferente, pa' que ya sea mejor",1
,1
El ciego cambió su vida le inspiró a escribir más vida,1
Hallar una salida a cada herida y situación,1
Un poeta en Venezuela canta con la frente arriba,0
Lo que la razón le diga y lo que dicte el corazón,0
Sin embargo las mentiras suelen provocarle ira,0
Por lo cual no puede botar completamente el rencor,0
Hay un tipo en Venezuela que aunque digan lo que digan,0
Es real como cualquiera que sienta rencor y amor,0
Y hoy la fui a visitar caminando entre lápidas,1
Y me di cuenta que la vida aquí es muy rápida,1
"Pronto he de acompañarle, mientras tanto voy",1
A cumplir con la misión que tengo aquí,1
", sí",0
[Outro],0
"Y con una sonrisa va, va, va",1
"Y todo con empeño ve, ve, ve",1
En un espejo un día lo vi y me dijo con su voz,1
¡Bu! ¿Qué tal es verte a mí?,1
,1
"Y con una sonrisa va, va, va",1
"Y todo con empeño ve, ve, ve",1
En un espejo un día lo vi y me dijo con su voz,1
¡Bu! ¿Qué tal es verme a ti?,1
¿Qué tal es verme a ti?,1
¿Qué tal es verme a ti?,1
¿Qué tal es verme a ti?,1
