line,annotated
"[Letra de ""¿Y La Felicidad Qué?""]",0
[Estribillo],0
"Es que, pelear en una cola",0
Comprarte una pistola,0
Vivir a solas,0
¿Y la felicidad qué?,0
Gritarle a tu pareja,0
Ignorar a tu vieja cuando te aconseja,0
¿Y la felicidad qué?,0
"Yo, quejas, quejas",0
¿Y la felicidad qué?,0
Robar a tu familia,0
Mirar con envidia,0
Todo te fastidia,0
¿Y la felicidad qué?,0
Trabajar sin descansar,0
Tener sexo y no amar,0
Criticar,0
¿Y la felicidad qué?,0
Nunca dar los buenos días,0
Vivir en la monotonía,0
¿Y la felicidad qué?,0
[Verso 1],0
Conforme pasa el tiempo la juventud se termina,0
Y no lo notas hasta que pierdes la mitad 'e tu vida,0
Sin haber sentido las cosas simples y especiales,0
"Como a tu gente, que abrazaste solo en navidades",0
Pues te invaden el orgullo y el egoísmo,0
Trabajando a diario pa' emborracharte los domingos,0
"O en el peor de los casos, viendo tele en esa silla",0
"Hasta que te das cuenta que tu hija menor ya se maquilla, sí (yo)",0
La vida es un parpadeo,0
"Donde la meta es ser feliz, al menos así yo lo veo",0
Nos preocupamos por estupideces y olvidamos,0
Que al morir sólo llevamos lo que disfrutamos,0
[Coro],0
Y es que,0
Esta vida,0
All we need is love,0
"All we need is hope, yeah",0
"Es un ratico, sí",0
"All we need is love, yeah",0
Aprovéchala,0
"Vívela, vívela",0
All we need is love,0
"All we need is hope, yeah",0
"Es un ratico, sí",0
Aprovéchala,0
[Verso 2],0
Juro que me parece ayer cuando jugaba perinola,0
Pareciera que fue hace media hora,0
El tiempo es la locomotora,0
Más rápida conocida hasta ahora,0
Por eso debemos aprovechar las horas,0
Todo el que haya sentido,0
El dolor de un ser amado fallecido,0
Estará convencido de lo que hoy le digo,0
Trato 'e buscar motivos,0
Que me respondan por qué estamos vivos,0
Y después de muchas noches sin dormir,0
He comprendido que,0
[Hook],0
All we need is love,0
"All we need is hope, yeah",0
"All we need is love, son",0
All we need is,0
All we need is love,0
"All we need is hope, yeah",0
"All we need is love, son",0
All we need is,0
[Verso 3],0
Recuerdo lo que dijo el amor de mi vida,0
El día en que su madre justamente perdió la suya,0
Dijo que nos preocupamos por tonterías,0
Tonterías que hacen que la felicidad se destruya,0
Es que se ha confundido la felicidad con dinero en exceso,0
Mientras la vida se escapa sin retroceso,0
Hoy no se pueden dar besos en lugares públicos,1
Donde sí se puede hacer campaña a los políticos,1
Si lo estudiamos notamos que el amor es segundo plano,0
"Excepto el amor por lo que tengamos, claro",0
"Como el carro, la casa y toda esa paja",0
Que no nos podremos llevar cuando durmamos en la caja,0
[Coro],0
Y es que,0
Esta vida,0
All we need is love,0
"All we need is hope, yeah",0
"Es un ratico, sí",0
"All we need is love, yeah",0
Aprovéchala,0
"Vívela, vívela",0
All we need is love,0
"All we need is hope, yeah",0
"Es un ratico, sí",0
Aprovéchala,0
Esta vida,0
All we need is love,0
"All we need is hope, yeah",0
"Es un ratico, sí",0
"All we need is love, yeah",0
Aprovéchala,0
"Vívela, vívela",0
All we need is love,0
"All we need is hope, yeah",0
"Es un ratico, sí",0
Aprovéchala,0
[Verso 4],0
Vive cada año cual si fuera el último,0
"Like, a new life, a new sun, un nuevo día",0
Vive cada instante como si fuera el único,0
"Y no te preocupes por tonterías, vive tu vida",0
[Estribillo],0
Pues pelear en una cola,0
Comprarte una pistola,0
Vivir a solas,0
¿Y la felicidad qué?,0
Gritarle a tu pareja,0
Ignorar a tu vieja,0
Cuando te aconseja,0
¿Y la felicidad qué?,0
"Quejas, quejas",0
¿Y la felicidad qué?,0
Robar a tu familia,0
Mirar con envidia,0
Todo te fastidia,0
¿Y la felicidad qué?,0
Trabajar sin descansar,0
Tener sexo y no amar,0
Criticar,0
¿Y la felicidad qué?,0
Nunca dar los buenos días,0
Vivir en la monotonía,0
¿Y la felicidad qué?,0
[Hook],0
All we need is love,0
"All we need is hope, yeah",0
"All we need is love, son",0
All we need is,0
All we need is love,0
"All we need is hope, yeah",0
"All we need is love, son",0
All we need is,0
[Coro],0
Y es que,0
Esta vida,0
All we need is love,0
"All we need is hope, yeah",0
"Es un ratico, sí",0
"All we need is love, yeah",0
Aprovéchala,0
"Vívela, vívela",0
All we need is love,0
"All we need is hope, yeah",0
"Es un ratico, sí",0
Aprovéchala,0
