line,annotated
[Intro],0
"Oh, oh what a lonely boy",0
Oh what a lonely boy,0
Oh what a lon–,0
[Verse 1],0
I've been gone – too long,1
"Working on these songs, yeah",0
"Work is a bitch and me and her don't get along, cause",0
"It stuck, I try to keep my head up",0
'Cause I know if I don't get up,0
Nothing around here is going to be better,0
Well I guess that's life,0
"Sometimes it feels like shitting, right",0
I'm at home up all night,0
All alone most of the time,0
[Bridge],0
Why do I do this shit 10 AM in the morning?,0
I ain't seen no one in a month and I got deadlines on deadlines,0
Back and forth through the room,1
"I thought again, this tune I miss you",1
Why didn't you come back?,0
[Hook],0
'Cause I need to get things done,1
I wanna be that kid that they put on,1
"Yeah, they be like: What's that song? Yeah that's my favorite one",1
'Cause I need to get things done,1
I wanna be that kid that they put on,1
"Yeah, they be like : What's that song? Yeah that's my favorite one",1
[Verse 2],0
"Who's that kid, looks like shit",1
Like he got no sleep in a month and a little bit,1
"Alright, let the KKK out, listen, what you're trying to say",1
This ain't a good look right outta a book,0
But when I get a beat then i come up with a right hook,1
Needa get a tight hook that works all night long,0
And some nights that give me that summertime bronze,0
[Bridge],0
Why do I do this shit 10 AM in the morning?,0
I ain't seen no one in a month and I got deadlines on deadlines,0
Back and forth through the room,1
"I thought again, this tune I miss you",1
Why didn't you come back?,0
[Hook],0
'Cause I need to get things done,1
I wanna be that kid that they put on,1
"Yeah, they be like : What's that song? Yeah that's my favorite one",1
'Cause I need to get things done,1
I wanna be that kid that they put on,1
"Yeah, they be like : What's that song? Yeah that's my favorite one",1
[Verse 3],0
"Next in line, I'm far from the exit sign",1
And I know that it's going (to) be great,1
"If I pull my way, I can't wait",0
It's like the sun is coming back up,0
How about today,0
Gimme some good weed in the motherfucking hot tub,0
I'm way and I don't know when I'll come back,1
Because I just put it down real real nice for y'all,1
So I'ma let you think about that,1
[Bridge],0
Why do I do this shit 10 AM in the morning?,0
I ain't seen no one in a month and I got deadlines on deadlines,0
Back and forth through the room,1
"I thought again, this tune I miss you",1
Why didn't you come back?,0
Why do I do this shit 10 AM in the morning?,0
I ain't seen no one in a month and I got deadlines on deadlines,0
Back and forth through the room,1
"I thought again, this tune I miss you",1
Why didn't you come back?,0
[Outro],0
"Gonna get this tune, I miss you",0
Why didn't you come back?,0
