line,annotated
[Текст песни «Яд»],0
[Куплет 1],0
"Чтобы идти дальше, выверни душу",0
"Город разрушен, город бездушен",0
"Я молюсь Богу, чтобы стать лучше",0
"Город разрушен, город не нужен",0
"На, на, на, мне всё равно",0
"Да, да-да, да, вы мне никто",0
Но языки — это яд,0
Я вижу их взгляд,0
[Припев],0
(All that stupid bitches on my mind),0
(Bitches on my mind),0
Я тот случай — голову ломай,0
"Круче всех-всех сучек, просто понимай",0
На высоту сам себя поднимай,0
"Свою пустоту мною не заполняй, не заполняй",0
"Хочешь меня, сам себя поменяй, сам себя поменяй",0
[Рефрен],0
"Все, все, все, все, все, все, все, все",0
"Все, все, все, все, все, все, все, все",0
[Куплет 2],0
"Все жмут на зеленый, а я жму на красный",0
"Город подвластный, город несчастный",0
Все ваши беды не в нашей власти,0
"Вы несогласны, вы непричастны",0
"На, на, на, мне всё равно",0
"Да, да-да, да, вы мне никто",0
Но языки — это яд,0
Я вижу их взгляд,0
"Ай, ай, ай, ай, не ношу Gucci",0
"Ой, ой, ой, ой, посмотрим, кто круче",0
[Припев],0
(All that stupid bitches on my mind),0
(Bitches on my mind),0
Я тот случай — голову ломай,0
"Круче всех-всех сучек, просто понимай",0
На высоту сам себя поднимай,0
"Свою пустоту мною не заполняй, не заполняй",0
"Хочешь меня, сам себя поменяй, сам себя поменяй",0
