line,annotated
[Intro: ScHoolboy Q &,0
Kendrick Lamar,0
],0
(,0
One,0
) I done lost money made it back,0
Everybody get the (Two) fuck out the way right now,0
"I just got a burner, where they at?",0
(,0
Three,0
) Car doin' doughnuts in a flash,0
(,0
"If you in this motherfucker, make noise right now",0
),0
(,0
Four,0
") Straight like this, I need my money in a bag",0
[Chorus: ScHoolboy Q],0
"Oh, yeah",1
"I been counting dead men, puttin' bodies in the safe (Safe)",1
"52 hundred, one swipe, throw it away ('Way)",0
"Ayy, whip, whip, whip, 'til it stain on ya (Stain on ya)",0
"Ayy, whip, whip, whip, 'til it stain on ya (Stain on ya)",0
"I been counting dead men, puttin' bodies in the safe (Safe)",1
"52 hundred, one swipe, throw it away ('Way)",0
"Ayy, whip, whip, whip, 'til it stain on ya (Stain on ya)",0
"Ayy, whip, whip, whip, 'til it stain on ya (Stain on ya)",0
[Verse 1: ScHoolboy Q],0
"Ayy, got it on me",0
If I ain't got nothin' that matter on me,0
"Dare one try, who frontin' on me?",0
"Ain't no smut, no chatter on me",0
"Money on me, hundred on me",0
"Both got rocks, look better on me",0
"Spaceship parked, no landin' on me",0
"Wrecked my Lam', don't need it on E",0
"Four words I know, yeah",0
"Fuck all you hoes, ayy",0
"I do the most, ayy",0
"Put that in quotes, ayy",0
"Diamond on me, jumpin' on me",0
You lil' boys can't match  milli' on me,0
"10K fit, put Groovy on fleek",0
D-boy fresh since school '03,0
"Speed racer, top down on E-way",0
Throw it back like replay,0
Most of y'all won't be safe,0
I came from hard knocks,0
"I stack, bring more knots",0
Gang tats and stovetops,1
"Act like you know us, you punk bitch",0
[Chorus: ScHoolboy Q],0
"Oh, yeah",1
"I been counting dead men, puttin' bodies in the safe (Safe)",1
"52 hundred, one swipe, throw it away ('Way)",0
"Ayy, whip, whip, whip, 'til it stain on ya (Stain on ya)",0
"Ayy, whip, whip, whip, 'til it stain on ya (Stain on ya)",0
"I been counting dead men, puttin' bodies in the safe (Safe)",1
"52 hundred, one swipe, throw it away ('Way)",0
"Ayy, whip, whip, whip, 'til it stain on ya (Stain on ya)",0
"Ayy, whip, whip, whip, 'til it stain on ya (Stain on ya)",0
[Verse 2: ScHoolboy Q],0
"First mil' showed up, ayy",0
"'Rari gon' go nuts, ayy",0
"Jewelry hang all out, ayy",0
"Bitches gon' call now, ayy",0
"Dollars ain't C-notes, ayy",0
"House on each coast, ayy",0
"Glock goes emo, ayy",0
"Porsche sound Deebo, ayy",0
"Four words I know, yeah",0
"Fuck all you hoes, ayy",0
"Chain whip, dip splash, uh",0
"Slim bitch, all ass, ayy",0
"Brew fresh pots, I serve",0
"This my wrist, iceberg",0
"Real life rich, get curved",0
"Bitch look fine, still broke",0
"Bitch, my wrist came woke",0
"Big bling, wrist got sold",0
I must live my worth,0
Chain drip down my shirt,0
My block been Iraq,1
"Three mil', paid my tax",0
"Your shit seized, all bad",0
"Fill my bag, all cash",0
[Chorus: ScHoolboy Q],0
"Oh, yeah",1
"I been counting dead men, puttin' bodies in the safe (Safe)",1
"52 hundred, one swipe, throw it away ('Way)",0
"Ayy, whip, whip, whip, 'til it stain on ya (Stain on ya)",0
"Ayy, whip, whip, whip, 'til it stain on ya (Stain on ya)",0
"I been counting dead men, puttin' bodies in the safe (Safe)",1
"52 hundred, one swipe, throw it away ('Way)",0
"Ayy, whip, whip, whip, 'til it stain on ya (Stain on ya)",0
"Ayy, whip, whip, whip, 'til it stain on ya (Stain on ya)",0
