line,annotated
[Intro],0
"You can feel it, feel it",0
"Yeah, yeah",0
[Verse 1],0
They say my system is overloaded,1
"(Girl, what’s wrong with you? Come back down)",1
"I'm too much in my head, did you notice?",1
"(Girl, what’s wrong with you? Come back down)",1
"My body's here on Earth, but I'm floating",1
"(Girl, what’s wrong with you? Come back down)",1
"Disconnected, so sometimes, I feel frozen and alone",1
[Chorus],0
This is for everybody,1
"Babe, you gotta take care of your body, yuh yuh",1
"Ain't no time to deny it, that is why we talking about it",1
"Yeah, we talking about it",1
"To deal with it, don't try to get by it",1
Ain't no time to deny it,1
So we had to sit down and just write it,1
[Verse 2],0
Want you to get better (Woo!),1
My life is so controlled by the what-ifs,1
"(Girl, what’s wrong with you? Come back down)",1
"Is there anybody else whose mind does this, mmm?",1
"(Girl, what’s wrong with you? Come back down)",1
"Down, down, down, down",1
Is there such a ladder to get above this?,0
"(Down, down, down, down, down, down, down, down)",1
"(Girl, what’s wrong with you? Come back down)",1
Maybe I should ground myself where the mud is,1
Before I'm gone,0
[Chorus],0
This is for everybody,0
"Babe, you gotta take care of your body, yuh yuh",0
"Ain't no time to deny it, that is why we talking about it",0
"Yeah, we talking about it",0
"To deal with it, don't try to get by it",0
Ain't no time to deny it,0
So we had to sit down and just write it,0
[Bridge],0
You can work your way to the top,0
"(You can feel it, feel it, woo)",0
Just know that there’s up and downs and there's drops,1
"(You can feel it, feel it, woo)",0
"Unfollow fear and just say ""You are blocked""",1
"(You can feel it, feel it, yuh)",1
Just know there is so much room at the top,1
"(You can feel it, feel it, yuh)",0
[Refrain],0
"Well here's one thing you can trust, yuh",0
It take you and me to make us (Yeah),0
"One of those days you had enough (Yeah), I'll be there, yuh yuh yuh",0
"'Cause if it ain't one thing, it's another",0
When you need someone to pull you out the bubble (Out the bubble),0
"I'll be right there just to hug you (Just to hug you),",1
I'll be there,0
Where are you? Are you home? Call me right on the phone,0
"I'll be there (Ayy, sheesh), yeah, I'll be there",0
"I don't care who is gone (I don't care who is gone), you shouldn't be alone (You shouldn't be alone)",0
"I'll be there (Mmm), there",0
[Bridge],0
You can work your way to the top (Woo!),0
"(You can feel it, feel it, woo)",0
"(I'm with you, I'm with you, I'm with you, just call me",0
"I'm with you, I'm with you)",0
Just know that there’s up and downs and there's drops,0
"(You can feel it, feel it babe)",0
"(I'm with you, I'm with you, I'm with you, just call me",0
"I'm with you, I'm with you)",0
"Unfollow fear and just say ""you are blocked""",0
"(You can feel it, feel it, yuh)",0
"(I'm with you, I'm with you, I'm with you, just call me",0
"I'm with you, I'm with you)",0
Just know there is so much room at the top,0
"(You can feel it, feel it, yeh)",0
"(I'm with you, I'm with you, I'm with you, just call me",0
No matter the issue),0
"No matter what, ah, ah, ah",0
[Refrain],0
"Here's one thing you can trust, yuh",0
"It take you and me to make us (Yeah, yeah, yeah)",0
"One of those days you had enough (Yeah, yeah, yeah), I'll be there, I'll be there (I'll be there)",0
"'Cause if it ain't one thing, it's another",0
If you need someone to pull you out the bubble,0
"I'll be right there just to hug you, I'll be there",0
Where are you? Are you home? Call me right on the phone,0
"I'll be there, yeah, I'll be there, I'll be there",0
"I don't care who is gone, you shouldn't be alone",0
"I'll be there, ooh, there",0
[Outro],1
You can work your way to the top,1
"(You can feel it, feel it)",1
