line,annotated
[Intro: Bernard Jabs],0
"Mic check, one, two, ayy, ayy",0
"Mic check, one, two, ayy, ayy, ayy",0
[Pre-Chorus: Bernard Jabs &,0
iann dior,0
],0
"Me and shawty on the highway, going back to my place",0
Beamer in the driveway,1
", park it in the driveway",0
Cuban like my chain,1
", going to a higher stage
She gon' come to my place, do whatever I say",0
Yeah,0
"[Chorus: iann dior,",0
Bernard Jabs,0
&,0
Both,0
],0
Got a lil' shawty,0
(Got a lil' shawty),0
She off a molly,0
She in love with th,0
e d,0
rugs,0
"Wanna fuck, when I'm done, kick her out,",0
no time for fun,0
"If you talking, show me what's up, got",0
Lil Tecca,1
with the drum,0
"Now you quiet, how it's 'sposed to be, lil' nigga, you look dumb",0
"Ayy, yeah
I been in any bitch in my space
Why'd he got that shit? He got his shit way back in cross-state
When I fuck a shawty, she can never stay in my place
I can't ever fuck 'cause I don't know when I'm alone, like",0
[Verse 1: Bernard Jabs],0
"Aight, she be undercover, I can't let it show",0
"Shawty love to trap and shit, she cook and sell the dope",0
"If you ever got an issue, you can let me know",0
"He said he got it coming through, I need 'bout three of those",0
"I need 'bout three of those, I need 'bout three or more",0
"Don't really need a bitch, ain't no problem to let her go",0
"But if you fuck somebody else, you gotta let me know",0
I really want you to myself but got to let you go,0
Lemme know,0
[Pre-Chorus: Bernard Jabs &,0
iann dior,0
],0
"Me and shawty on the highway, going back to my place",0
Beamer in the driveway,1
", park it in the driveway",0
Cuban like my chain,1
", going to a higher stage
She gon' come to my place, do whatever I say",0
Yeah,0
"[Chorus: iann dior,",0
Bernard Jabs,0
&,0
Both,0
],0
Got a little shawty,0
(Got a little shawty),0
She off a molly,0
She in love with the drugs,0
"Wanna fuck, when I'm done, kick her out,",0
no time for fun,0
"If you talking, show me what's up, got Lil Tecca",0
with the drum,0
"Now you quiet, how it's 'sposed to be, lil' nigga, you look dumb",0
"Ayy, yeah
I been in any bitch in my space
Why'd he got that shit? He got to ship it back to cross-state
When I fuck lil' shawty, she can't never stay at my place
I can't ever fuck 'cause I don't know when I'm alone, like, ayy",0
(No),0
[Verse 2: iann dior],0
Won't lose,0
Tryna play the part but I won't let you though,0
"Not heroic, I can't save these hoes, but damn, she flexible",0
So I bend her like a pretzel,0
"Bend it over, touch your toes",0
Say my name real loud so your neighbors know I'm home (Let's go!),0
"That little bitch insane, coming 'round tryna pick my brain",0
"But I can't let her though, she think she a clever ho",0
"Now her boyfriend know, she turned to a lonely ho",0
All her friends know,0
"Hit my line, we're next door",0
[Pre-Chorus: Bernard Jabs &,0
iann dior,0
],0
"Me and shawty on the highway, going back to my place",0
Beamer in the driveway,1
", park it in the driveway",0
Cuban like my chain,1
", going to a higher stage
She gon' come to my place, do whatever I say",0
Yeah,0
"[Chorus: iann dior,",0
Bernard Jabs,0
&,0
Both,0
],0
Got a little shawty,0
(Got a little shawty),0
She off a molly,0
She in love with the drugs,0
"Wanna fuck, when I'm done, kick her out,",0
no time for fun,0
"If you talking, show me what's up, got Lil Tecca",0
with the drum,0
"Now you quiet, how it's 'sposed to be, little nigga, you look dumb",0
"Ayy, yeah
I been in any bitch in my space
Why'd he got that shit? He got to ship it back to cross-state
When I fuck lil' shawty, she can't never stay at my place
I can't ever fuck 'cause I don't know when I'm alone, like, ayy",0
