song_title_cleaned,num_annotated,num_not_annotated,num_views
Rap_God,174,7,14.5M
HUMBLE,66,6,10.1M
Mans_Not_Hot,89,9,8.3M
Gods_Plan,49,7,8M
XO_TOUR_Llif,68,10,6.8M
1800-logic,88,10,6.7M
Hotline_Bling,65,9,6.5M
Mercy,160,7,6.4M
SAD,33,6,6.4M
rockstar,61,13,6.3M
Trap_Queen,72,7,6.3M
Killshot,123,3,5.8M
Jocelyn_Flores,33,5,5.7M
Panda,116,9,5.5M
Niggas_in_Paris,81,29,5.4M
This_Is_America,102,43,4.6M
Hot_Nigga,47,14,4.7M
Black_Beatles,46,40,4.6M
The_Monster,98,3,4.3M
iSpy,77,13,4.3M
Lose_Yourself,95,4,4M
Father_Stretch_My_Hands_Pt_,59,14,4M
White_Iverson,56,9,3.9M
Ultralight_Beam,113,18,3.7M
Monster,132,9,3.6M
ULTIMATE,77,9,3.4M
Bound_,65,16,3.3M
Lifestyle,47,61,3.3M
Lucid_Dreams,49,30,3.2M
Old_Town_Road_Remix,44,12,3.4M
The_Motto,45,23,3.2M
Dat_tick,25,10,3.2M
I_Love_It,43,23,3.1M
Thinkin_Bout_You,33,8,3.1M
Mo_Bamba,25,24,3M
Wild_Thoughts,31,44,2.9M
GUMMO,38,12,2.9M
Star_Shopping,11,24,2.9M
Yonkers,65,7,2.8M
Young_Dumb__Broke,20,45,2.6M
TShirt,64,12,2.5M
Or_Nah_Remix,8,87,2.5M
Broccoli,69,5,2.5M
Hit_Em_Up,107,44,2.4M
Homicide,119,32,2.4M
Oldie,121,124,2.3M
My_Way,55,7,2.2M
Stan,139,6,2.1M
Yes_Indeed,36,23,2M
The_Real_Slim_Shady,113,9,1.8M
Slippery,68,44,1.8M
Rolex,45,34,1.8M
The_Race,36,14,1.8M
Super_Rich_Kids,86,7,1.7M
ChunLi,52,11,1.7M
Old_Town_Road,33,7,1.7M
Kill_Yourself_Part_III,42,5,1.7M
Wicked_Games,53,8,1.7M
My_Nigga,42,48,1.6M
bad_guy,29,27,1.7M
Cabinet_Battle_,84,39,1.6M
Gang_Related,70,4,1.5M
EARFQUAKE,25,46,1.6M
_Foot__Foot,83,22,1.5M
In_Da_Club,51,23,1.5M
Feel_No_Ways,41,5,1.4M
Earth,62,78,1.5M
Look_Alive,48,43,1.4M
Gold_Digger,87,21,1.4M
Sunflower,8,35,1.7M
Straight_Outta_Compton,67,33,1.4M
IFHY,37,61,1.3M
Drip_Too_Hard,17,45,1.4M
No_Vaseline,143,4,1.3M
Neighbors,88,6,1.3M
Let_You_Down,45,43,1.3M
Feel_Good_Inc,53,34,1.3M
Hive,50,50,1.3M
Swang,22,35,1.2M
BAD,3,25,1.2M
XXL_Freshmen__Cypher__Part_,42,85,1.2M
Bitch_Lasagna,39,6,1.2M
Tuesday,91,8,1.2M
Hey_Ya,38,32,1.2M
Money,24,125,1.2M
XXL_Freshmen__Cypher__Part_,21,54,1.1M
Club_Going_Up_on_a_Tuesday,38,5,1.1M
All_Falls_Down,89,11,1.1M
BILLY,21,27,1M
Wow,42,11,1.1M
Paris,21,14,1M
My_Name_Is,82,13,1M
She,49,44,990.6K
_Problems,61,26,984.5K
Pray_For_Me,45,18,977.9K
It_Was_a_Good_Day,29,46,1M
Save_That_Shit,11,39,967.8K
Ms_Jackson,87,10,944.9K
